Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
4,2,1+2;h, h, m;15, 2, 21;i11, ,i27;-15;+8a (-1);+28d (+20);"* Tornado
* Balcony Break
* Combo from 2nd hit
* Combo from 1st CH";trn bbr;;Anna-4,2,1+2;Blonde Bomb Blitz;r37;;
1+2;m;"[5;5]";i16~18;+1;+9;+14;"* Homing
* Enter HAM +3 +8 with F on hit only
* 100% recoverable damage";hom;HAM;Anna-1+2;Open Sesame;r27;;
3+4;m;26;i14;-16;+9a (+0);;"* Heat Engager

* Heat Dash +5, +36a (+26)

* Balcony Break
* Hip attack, unparryable by traditional parries, Asuka, Nina, etc";he bbr;;Anna-3+4;Aphrodite's Scorn;r35;;
f+2;h;14;i14;-2;+4;;* Elbow;elb;;Anna-f+2;Poison Sting;r26;;
f+2,3;h, h;14, 20;i14, i19~20;-7;+12g;;"* Balcony Break
* Combo from 1st hit
* Input can be delayed 12f
* Move can be delayed 7f";bbr;;Anna-f+2,3;Poison Wire;r30;;
f+3;;;;;;;"* Enter r23 FC with db on frame 13
* Enter r16 CJM with b+3 on frame 13";;FC,CJM;Anna-f+3;Hammer Chance;r13;;
f+1+2;m;21;i17;-13;+19a (+14);+28d (+20);"* Tornado
* Balcony Break";trn bbr;;Anna-f+1+2;Blonde Bomb;r37;;
df+1;m;10;i13~14;-1;+5;;;;;Anna-df+1;Uppercut;r19;;
df+1,2;m, h;10, 10;i13~14, i16;-5;+2;+9;"* Jail from 1st attack
* Enter HAM +0 +7 +14 with F";;HAM;Anna-df+1,2;Uppercut Jab;r23;;
df+1,2,3;m, h, m;10, 10, 20;i13~14, ,i24~25;-12;+19a (+2);;"* Tornado
* Balcony Break
* Combo from 2nd CH
* Cancel to CJM -17 -10 -3 r35 with B on frame 20
&lt;div class=&quot;dotlist&quot;&gt;

* Low crush 17~26
* fs27~29

&lt;/div&gt;";"trn bbr &lt;div class=&quot;dotlist&quot;&gt;

* js17~26
* fs27~29

&lt;/div&gt;";CJM;Anna-df+1,2,3;Uppercut Jab > Radiant Arch;r30;;
df+1,2,4;m, h, h;10, 10, 22;i13~14, ,i17~20;-5;+20a (+11);+14c;"* Balcony Break
* Combo from 2nd CH with 10f delay
* Input can be delayed 10f
* Move can be delayed 8f";bbr;;Anna-df+1,2,4;Uppercut Jab > Cutting Crescent;r27;;
df+2;m;12;,i15~16;-12;+32a (+22);;* Launches crouching opponent;;;Anna-df+2;Step-in Uppercut;r27;;
df+3;m;13;i14;-11;+0;+1;*;;;Anna-df+3;Middle Kick;r29;;
df+3,1;m, h;13, 10;i14, i30;-3;+7;;"* Cancel to CJM -15 -4 -3 r33 with B on frame 14
* Cancel to SS -10 +1 +2 r37 with U_D on frame 28
* r43 when blocking after SS";;CJM,SS;Anna-df+3,1;Leg Slicer;r22;;
df+3,1,1;m, h, M;13, 10, 25;i14, ,i30~42;-11~+1;+9a (-1);;"* Balcony Break
* Weapon
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
* Unpunishable on block due to pushback
* Interrupt with i12 from 2nd block
* 5 Chip damage on block
&lt;div class=&quot;dotlist&quot;&gt;

* ,Low crush 21~50
* fs51~53
&lt;/div&gt;";"bbr wpn &lt;div class=&quot;dotlist&quot;&gt;

* js21~50
* fs51~53
&lt;/div&gt;";;Anna-df+3,1,1;Twisting Fascinator;r37;;
df+3,1,2;m, h, M;13, 10, 35;i14, ,i30~42;-11~+1;+3d;;"* Balcony Break
* Weapon
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
* Unpunishable on block due to pushback
* Interrupt with i12 from 2nd block
* 7 Chip damage on block
&lt;div class=&quot;dotlist&quot;&gt;

* ,Low crush 21~50
* fs51~53
&lt;/div&gt;";"bbr wpn &lt;div class=&quot;dotlist&quot;&gt;

* js21~50
* fs51~53
&lt;/div&gt;";;Anna-df+3,1,2;Twisting Penetrator;r37;;
df+3,1,4;m, h, h;13, 10, 20;i14, ,i15~16;-3;+4;;"* Combo from 1st CH
* Combo from 2nd hit with 10f delay
* Input can be delayed 10f
* Move can be delayed 8f";;;Anna-df+3,1,4;Twisting Combo;r27;;
df+3,2;m, h;13, 9;i14, i19;-2;+4;+10;"* Combo from 1st hit with 10f delay
* Input can be delayed 10f
* Enter HAM -2 +4 +10 r21 with F";;HAM;Anna-df+3,2;Creeping Snake;r21;;
df+3,2,1;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1;;;;
df+3,2,1,2;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2;;;;
df+3,2,1,2,4;m, h;13, 9;i14, ,;;;;* Transition to -21 -10 +9a CJM with B;;CJM;Anna-df+3,2,1,2,4;;;;
df+3,2,1,2,4,1;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2,4,1;;;;
df+3,2,1,2,4,1,2;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2,4,1,2;;;;
df+3,2,1,2,4,1,2,2;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2,4,1,2,2;;;;
df+3,2,1,2,4,1,2,2,3+4;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2,4,1,2,2,3+4;;;;
df+3,2,1,2,4,1,2,2,3+4,2;m, h;13, 9;i14, ,;;;;;;;Anna-df+3,2,1,2,4,1,2,2,3+4,2;10 Hit Combo;;;
df+3,2,2;m, h, M;13, 9, 20;i14, ,i26~27;-8;+12;+76a (+60);"* Combo from 2nd CH
* Input can be delayed 10f
* Move can be delayed 5f
* Transition to HAM on hit automatically";;HAM;Anna-df+3,2,2;Creeping Stinger;r31;;
df+3,2,4;m, h, h;13, 9, 22;i14, ,i22;-6;+20a (+11);+49a;"* Balcony Break
* Combo from 2nd CH with 9f delay
* Input can be delayed 10f";bbr;;Anna-df+3,2,4;Creeping Snake > Right High Kick;r30;;
df+3,3+4;m, m,m;13, 6,10;i14, i32~34 i11~12;-4;+78a (+62);;"* Tornado
* Balcony Break
* Knee
* Input can be delayed 10f
* Instant Tornado only if both knees connect
* +27a (+17) if only the last hit connects
Low crush 34~46";trn bbr kne js34~46;;Anna-df+3,3+4;Furious Hail;r22;;
df+4;L;17;i16~17;-15;+5c;+25d;"* Tracking notes:
* Homing to SSR side";;;Anna-df+4;Wine Opener;r32;;
d+1;sl;5;i10;-5;+6;;* Can recover standing with F;;FC;Anna-d+1;Low Jab;r24 FC;;
d+1,4;sl, m;5, 10;i10, i16~17;-11;+0;;* Combo from 1st CH;;;Anna-d+1,4;Low Jab Rising Kick;r29;;
d+2;m;17;i16~17;+1;+7c;+24d;* Spike;spk;;Anna-d+2;Ice Sickle;r29;;
d+3;L;10;16;-17;-6;;High crush 4~;cs4~;FC;Anna-d+3;Left Spin Low Kick;r36 FC;;
d+3,2;L, m;10, 18;16, i25~27;-11;+14~+16;;* Combo from 1st CH;;;Anna-d+3,2;Left Spin Low Kick > Right Upper;r30;;
d+3,4;L, h;10, 14;16, i20;-8;+1;;* Combo from 1st CH;;;Anna-d+3,4;;r31;;
d+3,4,1;L, h, m;10, 14, 20;16, ,i29~30;-3;+5c;+21a;"* Spike
* Combo from 2nd hit
* Combo from 1st CH";spk;;Anna-d+3,4,1;Left Spin Low Kick > B Slap Combo;r27;;
d+4;l;6;i12;-15;-4;;;;FC;Anna-d+4;Right Low Kick;r34 FC;;
d+4,1;l, h;6, 10;i12, i25;+0;+6;+11;"* Combo from 1st CH with 5f delay
* Input can be delayed 9f
* Cancel to SS -21 +7 r32 with U_D on frame 23
* Cancel to CJM -10 +1 r29 with B on frame 14
* r38 when blocking after SS";;SS,CJM;Anna-d+4,1;Right Low Kick > Back Spin Chop;r19;;
d+4,1~4;l, M;6, 20;i12, i27~31;-14c;+0d;;"* Spike
* Cancel to this move takes 6f
,Low crush 13~28";spk js13~28;this;Anna-d+4,1~4;Sudden Severe Drop;r40;;
db+1;m;16;i16~18;-12;+3;;"* Spike
* Can recover in FC with DB_D_DF";spk;;Anna-db+1;Scarlet Rain;r30;;
db+1,2;m, m;16, 20;i16~18, i25~26;-13;+5;;"* Balcony Break (airborne)
* Combo from 1st CH with 8f delay
* Input can be delayed 15f";;;Anna-db+1,2;Scarlet Ray;r34;;
db+1,4;m, h;16, 24;i16~18, i24;-8;+10a (+1);;"* Balcony Break
* Combo from 1st CH with 9f delay
* Input can be delayed 15f";bbr;;Anna-db+1,4;Scarlet Splatter;r35;;
db+2;m;17;i15~16;-9;+8s;+36d;"* Strong Aerial Tailspin
* Transition to r31 TOM on hit automatically
* +13a (+4) on BT hit";;TOM;Anna-db+2;Ocelot Claw;r30;;
db+3;L;21;i30~32;-26;+68a (+52);;"* Stagger on block
* Instant Tornado on hit
High crush 16~63";cs16~63;FC;Anna-db+3;Mudslide;r34 FC;;
db+4;L;14;i17~18;-13;+8c;+13;"* Transition to r26 HAM on hit automatically
* Cancel HAM transition -13 +3c +8 with B";;HAM;Anna-db+4;Scorned Mistress;r31;;
db+3+4;L;18;i24;-26;-6;;"* Clean hit -4 on hit, +3 damage
High crush 6~";cs6~;FC;Anna-db+3+4;;r34 FC;;
db+3+4,4;L, h;18, 23;i24, i29~30;-9;+14a (+5);;"* Balcony Break
* Combo from 1st hit on clean hit
* Combo from 1st CH with no clean hit
&lt;div class=&quot;plainlist&quot;&gt;
* ,Low crush 18~29
* fs30~32&lt;/div&gt;";"bbr &lt;div class=&quot;plainlist&quot;&gt;
* js18~29
* fs30~32&lt;/div&gt;";;Anna-db+3+4,4;Stalker Repellant Alter;r35;;
b+1;m;14;i16~17;-2;+1;;;;;Anna-b+1;;r28;;
b+1,2;m, h;14, 12;i16~17, i24;-11;+5;;* Combo from 1st hit;;;Anna-b+1,2;;r30;;
b+1,2,2;m, h, m;14, 12, 24;i16~17, ,i26~27;-12;+20a (+15);+29d (+21);"* Balcony Break (airborne)
* Elbow
* Combo from 1st CH
* Combo from 2nd CH with 9f delay
* Input can be delayed 15f";elb;;Anna-b+1,2,2;Cross Cut Saw;r35;;
b+1+3;;25;;;+3d;;"* Parries high or mid punches or kicks
* Can side switch depending on the parried attack
Parry state 5~12";ps5~12;;Anna-b+1+3;Attack Reversal;r35;;
b+2;h;10;i13~14;-5;+1;;* Homing;hom;;Anna-b+2;;r27;;
b+2,2;h, h;10, 20;i13~14, i18~19;-9;+5;;"* Balcony Break (airborne)
* Combo from 1st hit
* Female characters can slap back with 2 on hit
* Male characters can slap back with 2 on hit (likely a bug)";;;Anna-b+2,2;Double Slap;r33;;
b+3;;;;;;;"* Actionable after 16f
* i3? low parry: parries all lows (including Heat Smash lows)
* i3? throw parry: +0d and 25 damage
* Enter HAM with f+3 on frame 16
Parry state 3~47";ps3~47;HAM,CJM;Anna-b+3;Chaos Judgement;r16 CJM;;
b+4;m;17;i19~21;-9;+11g;;"* Strong Aerial Tailspin
* Homing
* Transition to r24 HAM on hit automatically";hom;HAM;Anna-b+4;Leopard Swipe;r26;;
b+1+2;m;21;i20~21;-13;+20a (+15);;"* Balcony Break
* -8 on block after absorbing an attack
* Deals chip damage on block after attack absorbtion
Power crush 7~19";bbr pc7~19;;Anna-b+1+2;Weeping Slap;r35;;
ub+1+2;m!;50;i60;;+46a (+15);;;;;Anna-ub+1+2;Bloody Scissors;r39;;
uf+1;h;6;i13;-4;+7;;;;;Anna-uf+1;;r23;;
uf+1,3;h, m;6, 17;i13, i15;-16;+7;+51a;"* Combo from 1st CH with 12f delay
* Input can be delayed 12f
* Move can be delayed 11f";;;Anna-uf+1,3;Fatal Attack Combo;r35;;
uf+1,3,3+4;h, m, m,m;6, 17, 6,10;i13, ,i32~34 i11~12;-4;+78a (+62);;"* Tornado
* Balcony Break
* Knee
* Combo from 2nd hit with 5f delay
* Combo from 1st CH
* +27a (+18) if only the last hit connects
* Instant Tornado on hit
,Low crush 34~46";trn bbr kne js34~46;;Anna-uf+1,3,3+4;Hail Storm;r22;;
uf+2;M;18;i20~21;-8;+12s;+72a (+56);"* Transition to r27 HAM on hit automatically
* Instant Tornado on CH";;HAM;Anna-uf+2;Bane Stinger;r31;;
uf+3;m;22;i23~24;+0;+27d;;"* Balcony Break
* Power up in Heat
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 9~30
* fs31~33&lt;/div&gt;";"bbr &lt;div class=&quot;plainlist&quot;&gt;
* js9~30
* fs31~33&lt;/div&gt;";;Anna-uf+3;Sudden Storm;r27;;
H.uf+3,1;m, h;22, 20;i23~24, i40~89;+4g~+53g;+20a (-6);;"* Strong Aerial Tailspin
* Balcony Break
* Weapon
* Combo from 1st hit
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
* 6 chip damage on block
* Partially uses remaining Heat time";bbr wpn;;Anna-uf+3,H.1;Sudden Fascinator;r16;;
H.uf+3,2;m, h;22, 30;i23~24, i40~139;-1~+98g;+20a (-6);;"* Strong Aerial Tailspin
* Balcony Break
* Weapon
* Combo from 1st hit
* Chip damage on block
* Partially uses remaining Heat time";bbr wpn chp;;Anna-uf+3,H.2;Sudden Penetrator;r16;;
uf+4;m;24;i18~20;-18;+27a (+17);;"* Tornado
* 18 damage when using ub+4
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 13~31
* fs32~34&lt;/div&gt;";"trn &lt;div class=&quot;plainlist&quot;&gt;
* js13~31
* fs32~34&lt;/div&gt;";;Anna-uf+4;Quick Somersault Kick;r35;;
uf+3+4;M,M;4,18;i25~28;-3c;+5c;;"* Spike
Low crush 9~26";spk js9~26;FC;Anna-uf+3+4;Dominatrix Heel;r31 FC;;
f,F+2;h;21;i17~18;+4;+15d;;"* Homing
* Balcony Break (airborne)
* Weapon
* 6 chip damage on block
* 7 chip damage on block in heat";hom wpn;;Anna-f,F+2;Headless Horseman;r37;;
f,F+3;m;14;i15;-11;+5;;*;;;Anna-f,F+3;;r32;;
f,F+3,2;m, M;14, 20;i15, i28~29;-7;+20d;;"* Heat Engager

* Heat Dash +5, +67a (+50)

* Balcony Break
* Spike
* Weapon
* Combo from 1st hit with 5f delay
* 6 chip damage on block
* 7 chip damage on block in heat";he bbr spk wpn;;Anna-f,F+3,2;Gancanagh's Pipe;r29;;
f,F+3,3;m, L;14, 14;i15, i25;-14;+4c;+14;"* Combo from 1st hit with 5f delay
,High crush 1~";cs1~;FC;Anna-f,F+3,3;Mouse Trouble;r33 FC;;
f,F+4;M;20;i31~34;+5;+19a;;"* Spike
* Enter CJM +6 +20a r28 with B
* Chip damage on block
Low crush 16~31";spk chp js16~31;CJM,FC;Anna-f,F+4;Falling Heel;r28 FC;;
f,F+1+2;m;25;i18~20;-9;+19a (+14);;"* Balcony Break
* 5 chip damage on block";bbr;;Anna-f,F+1+2;Sosho Zanha;r35;;
f,F+1+2*;m;30;i27~29;+5~+7;+33a (+12);;"* Balcony Break
* 12 chip damage on block";bbr;;Anna-f,F+1+2*;Sosho Zanha;r35;;
f,F+3+4;m,m,m;8,8,10;i15~16 i8~11 i7~8;+0;+9;+30a (+23);"* CH advantage is for the first hit
Low crush 13~";js13~;CJM;Anna-f,F+3+4;Treading Water;r20 CJM;;
qcf+1;h;20;i13~17;+1~+5;+3~+7;+47a (+37);"* Elbow
* Can be buffered
* Chip damage on block
* Perfect input d,df,f#1, f and 1 must be pressed on the same frame, grants +3 damage and increased chip damage on block";elb chp;;Anna-qcf+1;Assassin's Dagger;r23;;
qcf+2;m;10;i16;-12;+3;;"* Elbow
* Can be buffered";elb;;Anna-qcf+2;Crimson Arrow;r34;;
qcf+2,1;m, m;10, 16;i16, i22~24;-16;+67a (+51);;"* Tornado
* Elbow
* Combo from 1st hit with 8f delay
* Input can be delayed 8f
* Move can be delayed 7f
* Can be buffered
* Cancel to CJM -13 +2 r34 with B on frame 14";trn elb;CJM;Anna-qcf+2,1;Artemis Arrow;r35;;
f,f,F+2;m;10;i15~16;-8;+1;;;;;Anna-f,f,F+2;;r35;;
f,f,F+2,4;m, m;10, 28;i15~16, i28~30;-13;+9a (+0);;"* Balcony Break
* Knee
* Combo from 1st hit
&lt;div class=&quot;plainlist&quot;&gt;
* ,Low crush 27~45
* fs46~48&lt;/div&gt;";"bbr kne &lt;div class=&quot;plainlist&quot;&gt;
* js27~45
* fs46~48&lt;/div&gt;";;Anna-f,f,F+2,4;Double Meteor Alter;r33;;
f,f,F+3;L;12;i16~20;-20;-2c;;"*
High crush 9~";cs9~;FC;Anna-f,f,F+3;;r35 FC;;
f,f,F+3,2;L, SL;12, 24;i16~20, i28~77;-16~+33g;+19a (+9);;"* Weapon
* Combo from 1st CH
* Chip damage on block
* Power up in Heat";wpn chp;FC;Anna-f,f,F+3,2;Grilled with Love;r27 FC;;
H.f,f,F+3,2;L, SL,SL,SL;12, 9,9,32;i16~20, i28~77 i41~90 i60~109;-5~+44g;+21a (-5);;"* Weapon
* Combo from 1st CH
* Jails from 2nd hit
* Chip damage on block
* Partially uses remaining Heat time";wpn chp;FC;Anna-f,f,F+3,H.2;Grilled with Eternal Love;r40 FC;;
f,f,F+4;m;28;i19~20;+3;+19a (+9);;"* Balcony Break
* Chip damage on block
* Hitstop 20f on hit
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 14~29
* fs30~32&lt;/div&gt;";"bbr chp &lt;div class=&quot;plainlist&quot;&gt;
* js14~29
* fs30~32&lt;/div&gt;";;Anna-f,f,F+4;Imploding Star;r35;;
ws1;m;10;i13~14;-8;+5;;;;;Anna-ws1;;r26;;
ws1,2;m, M;10, 17;i13~14, i18~19;-13;+9s;;"* Strong Aerial Tailspin
* Transition to r30 TOM on hit automatically
* Combo from 1st hit with 13f delay
* Input can be delayed 13f
* Move can be delayed 9f";;TOM;Anna-ws1,2;Ocelot Frenzy;r31;;
ws2;m;16;i16~17;-13;+27a (+17);;* Tornado;trn;;Anna-ws2;Rising Palm;r35;;
ws3;m;20;i11~12;-3;+8;+12;;;CJM;Anna-ws3;Face Wash;r21 CJM;;
ws4;m;16;i11~12;-6;+5;;;;;Anna-ws4;Toe Smash;r24;;
ws1+2;m;25;i20~21;-14;+14a;;"* Balcony Break
* Spike
* -9 on block after absorbing an attack
* Deals chip damage after attack absorbtion
Power crush 7~19";bbr spk pc7~19;;Anna-ws1+2;Right Hand Slap;r35;;
SS.2;L;12;i20~21;-12;+0;+14g;"* Sidestep adds minimum 9f, effective startup i29~30
High crush 6~";cs6~;FC;Anna-SS.2;Chaos Tail;r30 FC;;
SS.3;M;23;i21~23;+4c;+8c;+25d;"* Spike
* Sidestep adds minimum 9f, effective startup i30~32";spk;;Anna-SS.3;Heel Mash;r27;;
SS.1+2;m,m;5,7;i19~20 i5~9;-11;+32a (+22);;* Sidestep adds minimum 9f, effective startup i28~29;;;Anna-SS.1+2;Bloody Chaos;r26;;
FC.df+1;m;22;i20;-10;+21d (+11);;"* Heat Engager

* Heat Dash +5, +36a (+26)

* Balcony Break
* Weapon
* Chip damage on block
High crush 1~";he bbr wpn chp cs1~;;Anna-FC.df+1;Cat Sith's Paw;r35;;
FC.df+2;L;12;i20;-21;+70a (+54);;"* Instant Tornado on hit
* Recovers 6f faster on hit
* Deals only 6 damage when using its follow up attack in Heat
High crush 1~52";cs1~52;;Anna-FC.df+2;Right Handed Sweep;r40;;
FC.df+2~H.1;L, L;12, 18;i20, i27~28;-21;+64a (+48);;"* Balcony Break (airborne)
* Weapon
* Jail from 1st attack
* Instant Tornado on hit
* Chip damage on block
* Partially uses remaining Heat time";wpn chp;;Anna-FC.df+2~H.1;Leanán Sith's Grail;r39;;
BT.1;h;15;i8;-8;+3;;"* Links to 1 jab extensions
* Combo into extensions on CH";;1 jab extensions;Anna-BT.1;Twist Jab;r27;;
CJM.1;h;17;i11~12;+0;+7;+14;;;;Anna-CJM.1;Infernal Storm;r27;;
CJM.2;h;10;i10;-11;+0;;;;;Anna-CJM.2;;r30;;
CJM.2,1;h, m;10, 16;i10, i20~21;-11;+24a (+19);;"* Heat Engager

* Heat Dash +5, +36a (+26)

* Balcony Break
* Combo from 1st hit with 6f delay";he bbr;;Anna-CJM.2,1;Carmine Hands;r31;;
CJM.3;m;12;i12~14;-12;+3;;;;;Anna-CJM.3;Picking Heel;r32;;
CJM.3,2;m, m;12, 24;i12~14, i28~77;-14~+35;+21a (+11);;"* Weapon
* Combo from 1st hit
* Chip damage on block";wpn chp;;Anna-CJM.3,2;Baked with Love;r13;;
H.CJM.3,2;m, m,m,m;12, 9,9,32;i12~14, i28~77 i41~90 i59~108;-2~+47g;+26a (+0);;"* Weapon
* Combo from 1st hit
* Jails from 2nd hit
* Chip damage on block
* Partially uses remaining Heat time";wpn chp;;Anna-CJM.3,H.2;Baked with Eternal Love;r29;;
CJM.4;M;23;i20~21;-13;+10a;;"* Balcony Break
* Spike
* -9 on block after absorbing an attack
* Deals chip damage on block after attack absorbtion
Power crush 7~19";bbr spk pc7~19;;Anna-CJM.4;Queen Heel;r39;;
CJM.1+2;M;23;i17~18;+2c;+8c;+23d;"* Spike
* 4 chip damage on block
* 7 chip damage on block in heat";spk;FC;Anna-CJM.1+2;Caracal;r30 FC;;
CJM.P;m;20;i15~16;-14;+29a (+19);;is1~;is1~;;Anna-CJM.P;Stryx;r34;;
CJM.df;;;;;;;"&lt;div class=&quot;plainlist&quot;&gt;
* High crush 5~
* fs8~35&lt;/div&gt;";"&lt;div class=&quot;plainlist&quot;&gt;
* cs5~
* fs8~35&lt;/div&gt;";FC;Anna-CJM.df;Forward Roll (ROLL);r40 FC;;
CJM.d+3;L;8;i15;-11;+0;;*;;FC;Anna-CJM.d+3;;r30 FC;;
CJM.d+3,3;L, h;8, 20;i15, i21;-7;+7;;* Combo from 1st hit;;;Anna-CJM.d+3,3;Dendrobates Azureus;r31;;
CJM.f+3;;;;;;;"* Enter r23 FC with db on frame 13
* Enter r16 CJM with b+3 on frame 13";;FC,CJM;Anna-CJM.f+3;Hammer Chance;r13;;
CJM.uf+1;M;25;i19~29;-11~+1;+9a (-1);;"* Balcony Break
* Chip damage on block
* Unpunishable on block due to pushback
* Fragile debuff on hit or block, opponent receives chip damage from any attack, removed when land a hit on you
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 9~37
* fs38~40&lt;/div&gt;";"bbr chp &lt;div class=&quot;plainlist&quot;&gt;
* js9~37
* fs38~40&lt;/div&gt;";;Anna-CJM.uf+1;Flying Fascinator;r37;;
CJM.uf+2;M;35;i19~29;-11~+1;+3a;;"* Balcony Break
* Chip damage on block
* Unpunishable on block due to pushback
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 9~37
* fs38~40&lt;/div&gt;";"bbr chp &lt;div class=&quot;plainlist&quot;&gt;
* js9~37
* fs38~40&lt;/div&gt;";;Anna-CJM.uf+2;Flying Penetrator;r37;;
CJM.uf+3;m;22;i23~24;+0;+27d;;"* Balcony Break
* Power up in Heat
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 9~30
* fs31~33&lt;/div&gt;";"bbr &lt;div class=&quot;plainlist&quot;&gt;
* js9~30
* fs31~33&lt;/div&gt;";;Anna-CJM.uf+3;Sudden Storm;r27;;
CJM.uf+4;m;22;i15~16;-13;+30a (+20);;"* Tornado
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 8~29
* fs30~32&lt;/div&gt;";"trn &lt;div class=&quot;plainlist&quot;&gt;
* js8~29
* fs30~32&lt;/div&gt;";;Anna-CJM.uf+4;Stryx;r33;;
HAM.1;h;20;i13~14;+6;+30a (+20);;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Elbow
* 6 chip damage on block
* 7 chip damage on block in heat";he bbr elb;;Anna-HAM.1;Cupid's Arrow;r25;;
HAM.2;m;12;i15~16;-9;+3;;"* Weapon
* 2 chip damage on block
* 3 chip damage on block in heat";wpn;;Anna-HAM.2;;r32;;
