DEN 1;This move is essential. It is, in essence, a long-range jab that can be used to stop anyone from coming in and/or to close distance with ease, and can also be transitioned into SEN as well. At plus 8 on hit and plus 1 on block, you have plenty of room to play around and experiment with to check your opponent.
SS 2;"A strong sidestepping mid that KND on hit and can be followed up with ""DEN 3+4"" or ""FF2"", both of which can transition into SEN for more pressure. In heat this move gets enhanced with a thunderstrike, taking it from -9 to +6, meaning that you can follow up with ""df1"", stopping opponents from rage arts, but will not beat power crush"
DF3 (into DEN 1+2);"A fast 16f mid kick that on hit gives you ""DEN 1, 2"".  This works very well as a block punish or whiff punish, as this link leads into a heat engager, and if you are already in heat, it gives you a heat dash combo"
DEN 3;A plus 5  forward advancing homing stance mid that forces an automatic SEN mix up and is a heat engager. 
D2;"This mid forces 0 on block but leaves your opponent in crouch, giving a slight advantage. By holding D, you can make yourself crouch as well, making ""WS 4"" beat almost every option or follow-up, and if you remain standing, this is a decent frame trap when used with 111."
SEN 1;A heat-engaging mid from SEN. It's safe on block and best used when you want to either stay safe or if you see your opponent trying to press on stance plus frames
SEN (by itself);This stance can high-crush, making baiting an opponent fall in your favor, or if you are using a stance into a high power crush, this move comes in handy to make hard reads against opponents
F+3 (DEN);This stance has a manual input giving a psuedo wavedash feeling. It can also high-crush, but only when it is manually input. This is very useful against a lot of strings if you have the knowledge
SEN 3+4;A mid mid 0 on block that can set up a mini midngame with frame traps and movement. This move can also floor break for a combo
FF+4,2 | FF+4,3;"Lars hellsweep operates as both a mix-up tool in (""FF4,2""), giving you plus frames into DEN for a very strong mix-up, and ""FF4,3"" does more damage but leaves you at -3. It allows you to pick and choose what kind of pressure you want to put on your opponent. Although the risk may be large due to it being launch punishable, this move will make all the difference in applying pressure "
DB+4;Lars' most iconic low at 20f startup. This launch-punishable low is a staple in Lars' gameplay. At plus 5, this move starts a vast majority of Lars' mixups, and on counter hit gives a full combo.
FC DF2;"A safe 15f full crouch counter hitting mid. Used in tandem with ""DB4"", ""SEN2"", or any low that leaves him in crouch. This move will check for anyone pressing in situations they shouldn't, or anyone second-guessing themselves once, and it is one of his best combo starters"
FC 1+2;An 18F full crouch low. A safer alternative low that can transition into LEN by holding D. It can create mind games and help train your opponent's reactions
FFF+3;A general slash kick that gives plus 6 on block and helps start offense in a safe manner











#panic_moves
Command;Description
1,1,1;Lars Jab ch string. Good at interrupting pressure
uf+3;Lightning screw. A high-crushing mid launcher. Very risky to use, but great reward
db1+2;"A pseudo ""Backswing blow"". It can be used against some strings and pressure, gives a free ""DEN 1,2"" on hit. Must learn how to hit confirm, bacause it is very aasy to punish the transition if it doesn't hit."
db+4;A 20f high crushing low, launch punishable on block


#punishers_standing
Startup;Command;Description
i10;2,1;Fastest jab punish. Free automatic LEN mix up
i12;F2,4;Best standing punish
i12;F2,1;A decent punish. Loses damage but gains a SEN mix-up
i13;F1+4;Furthest reaching punish, but less damage than F2,4
i14;F,N, B 2,1;Fastest and best launch punish, gives the best combos
i15;F1+2;An easier punish with less execution, will be the common launch punish
i16;UF3;Not used as often as the other launchers, but still fairly useful
i17;3+4;Good against pushback moves like DeathFist and is a Heat Engager

#punishers_crouching
Startup;Command;Description
i11;WS 4
i13;WS 2,1;Leaves opponent in crouch on hit
i13;WS 2,3;The optimal punish. It deals more damage and can transition into LEN for a mix-up.
i15;WS 1;Launcher that works against any launch punishable low
i20;WS 3;Strongest launcher, amazing against stagger lows like Mishima Hellsweep



#punishers_whiff
Command;Description
2,1;Fast safe whiff punish
F1+2;Easy to use, fast mid launcher
B3,4;Long range KND whiff punish
DF+2 B;Fast mid

#combos_normal
Starter;Combo
F,N,B+2,1 | UF4 | CH FC DF2 | CH DEN 2;DEN 2 > f123~ DEN1 > b3~f SEN 1+2 >DEN 2 u 4
F1+2 | SEN 3;df+3~d DEN 2 > df2~SEN 4 > 2 > b3~f SEN1+2 > DEN2 u 4
UF+3;FC df2 > db2~f SEN1+2 > ff42~DEN 2 u 4
CH DB4;FC df2 > db21 > df2~SEN 4 > db2~f SEN 1+2 > SSL DEN 2 u 4
CH FF1+2;fff+1~ SEN 4> df3~d DEN 2> df+2~ SEN 1+2 > SSL DEN 2 u 4
WS1 | FF2;~f  SEN 3 > df+3~d DEN 2> df2~ SEN 4> db+2~f SEN 1+2 > DEN 2 u 4
WS3;~d > LEN 2 > fff+1~b > ff42~ DEN1 > df+3~d DEN 2 u 4
DEN 1+2;fff+1~b > ff42~ DEN1 > df+3~d DEN 2 u 4
Low Parry;fff+1~b > ff42~ DEN1 > df+3~d DEN 2 u 4


#combos_beginner
Starter;Combo
F,N,B+2,1 | UF4 | CH FC DF2 | CH DEN 2;f123~ DEN1 > b3 SEN 1+2 > DEN 2 u 4
F1+2 | SEN 3;df+3~d DEN 2 > f+21~SEN 1+2 > f+21~ SEN 1
UF+3 | CH DB4;WS2~f SEN 1+2 > df+1 > f+21~SEN 1
CH FF1+2;db+21 > f+21~ SEN 1+2 > f+21~SEN 1
WS3;~d LEN 2 > f+123~ DEN 1~f SEN 1
WS1 | FF2;uf+3 > WS2~f ~SEN 1+2 > DEN 2 u 4
Low Parry;F123~DEN1 > b3~f SEN 1

#combos_ender
Type;Combo
wall_break;F1+4
floor_break;F,B+21
carry;DF+3,3


#combos_wall
Type;Combo
normal;df+1 > db+21 > f1+4
normal;1 > df+1 > d3 1
tornado;df+1 > d 3, 1
tornado;fff2+4 > f1+4


#combos_small
Starter;Combo
SS+2;ff+2
CH df+2;SEN 1 or SEN 3+4
DF3;~d DEN 1 2
CH DEN 3+4;~f SEN 1
DB1+2;~d DEN 1 2






#stances
Type;Command / Name;Description
stance;F3 / Dynamic (DEN);"This stance can be accessed by manually inputting ""F3"" or using moves such as ""F+1,2,3"" and ""FF+4.2"", it will automatically transition, while other moves like ""DF3"" and ""DB1+2"" require you to hold ""D"" in order to make him transition"
stance;SEN / LEN (Silent Entry) (Limited Entry);"SEN can be accessed after manually going in to DEN by pressing ""F"". SEN will automatically transition from ""f+2,1"", ""f+1,2"", ""df+2"", and ""DEN 3"", and a few other moves, and all can be cancelled by holding ""B"". Other moves require a manual input, such as ""WS2"" and ""b3"". LEN, just like SEN, can be accessed through a move, ""2,1"", making it the only move to auto transition. It can also be accessed from SEN by holding ""D"" in SEN, and can be manually accessed by holding ""D"" after ""1,4"", ""DEN 4"", ""WS3"", and ""3""."



#frame_traps
Starter;Trap
 1 | DEN 1;1,1,1
B1;df+2
DF1;B4
DB4;FC df+2


#knowledge_checks
Command;Description
DEN 3;An easy-use stance mid that covers long distances and leaves you at +5 for a SEN mix-up
DF+1, 1 | df+1,3 | df+1,1,3;"""Df1,1"" is a mid-high string that can be ducked, but alternatively ""DF1,3"" is mid-mid, and although -12, it is a good check for opponents who duck ""DF1,1"", and at the wall will wall splat for a combo, and ""DF1,1,3"" is for those not respecting the second hit at all, making the 1,3 free on CH"
SEN 3+4;"SEN 3+4 into ""1,1,1"" is a common strategy with Lars players. it's 0 on block, but leaves you crouched. Sidestep, block, or use a FC low or mid if you have one that is fast."
2,1;"On block, ""2,1"" is -8, meaning that you should be able to take your turn, but Lars can use orbital and beat certain mids and highs. Using a move that can float him safely or side-stepping to the right will nullify this ""mix-up"""
DB4;"A 20f +5 on hit low. An essential move for a lot of Lars players, and commonly followed up with ""FC DF2"" for a safe CH launching combo. On block your character can get their strongest WS launch. If hit by it, do not press"


#defense_tips
Title;Description
Sidestep Right;"Lars is very weak to his right side and generally linear, making it the best choice when fighting him. To keep people in line, Lars players will use ""B1"" and ""f,f,f+1"" to keep you from getting around him. If you are stepping Lars, check to see if they are stopping you from doing so, and if not, take advantage."
Learn the SEN stance moves;"Learning which moves go into SEN (i.e, ""F2,1"", ""DF,2"", ""B3"", etc.) will help greatly, as SEN on block is not a real mix-up. Step to the left and duck to avoid the follow-up attacks, or if you feel confident in your read, use a launcher as he can't block in SEN."
Block the lows.;"Lars' lows are generally bad on block, but on hit grant him a very good advantage. Moves like his ""DB4"", ""FF4,3"" / ""FF4,2"" and ""DB1,3"" are deadly for him on block. Keep your defense up and launch him for swinging too big with lows."
Do not sit still;"Lars loves nothing more than an inactive player; he WILL run you over. You must be active against him. Use your movement to your advantage"

#defense_moves
Command;Description
DB1,3 ;On blocking the first hit of this string, the second hit will keep you ducking, automatically whiffing. Be mindful and launch this move any chance you get.
DB+4;A launch punishable low that leads into a lot of Lars pressure and a commonly used move
DF3,3;A 2-hit guaranteed string that can transition into DEN by holding D. Be careful when challenging this move, as DF33 can't be interrupted but is launch punishable, and Lars can't block in DEN. Be patient and wait for your opening.
1,4;You can block the 2nd hit even if the jab lands, and it can be low parried if the jab is blocked.
B2,1;"A 2-hit delayable CH launching string that can be used in tandem with ""B2,3"". You can flash duck and remain safe between both moves and launch the high in B2,3"
DB1+2;A backswing block that can transition into DEN. It's unsafe, being -13, but if you are scouting that he goes into DEN afterwards, you can launch him.
DB2,3;A mid into a chargeable mid kick. This move can be stopped while charging, but can be let go early to catch timing. Using a jab to stop the charge is the easiest way to counter it.



#resources_external
Url;Name
https://www.youtube.com/watch?v=TEA80Y-dQVA;Beginner Guide and combos by New Wave Tekken
https://youtu.be/9cC5OhFY4GU?si=_i45sP2ap0eLmcDs;Good strings by New Wave Tekken




#credits
name;url;role
KayDash;https://x.com/KayDashX_;author





#about
Property;Value
GameVersion;2.06
LastUpdated;2025-11-18




#about_author
Section
