Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
3,2;h, m;17, 18;i15~16, i20~21;-9;+5c;;"* Elbow
* Move can be delayed by 10F
* Input can be delayed by 11F";elb;;King-3,2;;r28;;
3,2,2;h, m, m;17, 18, 24;i15~16, ,i23~24;-13;+17g JGR;;"* Elbow
* Balcony Break
* Floor Break
* Transition to +17g JGR on hit
* Transition to +12g standing on hit with B 
* Combo from 2nd CH with 10F delay
* Move can be delayed by 11F
* Input can be delayed by 12F";elb bbr fbr;JGR;King-3,2,2;Stampede Crush;r35;;
3,2,2*;h, m, m;17, 18, 30;i15~16, ,i34~35;+9c JGR;+25a (+15) JGR;;"* Balcony Break
* Transition to JGR on hit or block (+9/+25a (+15))
* Transition to standing on hit or block with B  (+4c/+20a (+10))
* Move can be delayed by 11F
* Input can be delayed by 12F
* 12 chip damage on block";bbr;JGR;King-3,2,2*;Stampede Crush (hold);r35;;
4;h;20;i13;-5;+6;+31d;* Knocks down on CH for dash OTG throw.;;;King-4;Right Kick;;;
1+2;m;17;i18;-11;-2s;+0s;"* Forces standing on hit.
* Shifts into backturn stance.";;BT;King-1+2;;r30? BT;;
1+2,1;m, m;17, 21;i18, i22;-13/-18;+12a(+3)/-9;;"* Balcony Break
* Combo from 1st hit with 3F delay
* Interrupt with i5 from 1st block
* Hold back during 2nd hit to feint
* Input can be delayed by 3F
* Move cannot be delayed";bbr;;King-1+2,1;Head Spinner;r33;;File:t8-p2-king-1+2,1.mp4
1+2,3;m, h;17, 25;i18, i24~25;-3;+12a(+3);;"* Balcony Break
* Tornado
* Combo from 1st hit with 3F delay
* Combo from 1st CH with 5F delay
* Move can be delayed by 4F
* Input can be delayed by 5F";bbr trn;;King-1+2,3;Brutal Sting;r37;;File:t8-p2-king-1+2,3.mp4
3+4;;;;;;;"* Hold to continue spinning and power up strikes, but King doesn't change direction.
* King gets dizzy and falls after 6th spin.
Low crush 6~21 fs22~24";js6~21 fs22~24;JGS;King-3+4;Jaguar Step;r24 JGS;;
f+2;m;12;i15~16;-11;+2s;;* Forces standing on hit?;;;King-f+2;;r29;;
f+2,1;m, h;12, 25;i15~16, i15~16;-9;+16a;;"* Heat Engager

* Heat Dash +5 on block, +36a(+26a) on hit.

* Balcony Break
* Combo from 1st hit with 4F delay
* Move can be delayed by 10F
* Input can be delayed by 12F";he bbr;;King-f+2,1;Elbow Impact;r33;;File:t8-p2-king-f+2,1.mp4
f+2,d+1;m, m;12, 15;i15~16, i22;-13c;+2c;;"* Floor Break
* Move can be delayed by 10F
* Input can be delayed by 12F";fbr;;King-f+2,d+1;;;;
f+2,d+1,2;m, m, m;12, 15, 16;i15~16, ,i22~23;-15;+27a(+17);;"* Combo from 2nd hit with 13F delay
* Move can be delayed by 10F
* Input can be delayed by 13F
* Jail from 2nd block with no delay";;;King-f+2,d+1,2;Jaguar Smash Combo;;;File:t8-p2-king-f+2,d+1,2.mp4
f+3;m;18;i15~16;-8;+1;+9s;* Only forces standing on CH.;;;King-f+3;Front Kick;r27?;;File:t8-p2-king-f+3.mp4
f+3:1+2;m, t;18, 20;i15~16, ;;-5d;;"* Input 1+2 during frames 16-19 of f+3
* Shifts to throw on front grounded hit.";;;King-f+3:1+2;Front Kick > DDT;;;File:t8-p2-king-f+3c1+2.mp4
f+4;m;25;i18~20;-9;+12a(+3);;"Balcony Break
Homing
Low crush 9~";bbr hom js9~;;King-f+4;Rolling Sobat;r31;;File:t8-p2-king-f+4.mp4
f+1+2;h;23;i16~17;+0~+1;+10d;;;;;King-f+1+2;Shadow Lariat;r27;;File:t8-p2-king-f+1+2.mp4
f+1+4;m;21;i17~19;+3;+7s;;* Forces standing on hit.;;;King-f+1+4;Body Check;r26;;File:t8-p2-king-f+1+4.mp4
f+2+3;m;27;i20~24;-9;+8a(-1a);;"* Heat Engager

* Heat Dash +5 on block, +36a(+26a) on hit.

* Balcony Break";he bbr;;King-f+2+3;Shoulder Tackle;r33;;File:t8-p2-king-f+2+3.mp4
f+3+4;;;;;;;"* Cancel to r25 standing block with b on frame 35~ at the earliest
* Access powered-up JGR moves starting at frame 60?
* Immediately access powered-up JGR moves during Heat
* Becomes pc7~89 during Heat.
* Partially uses remaining Heat time";;JGR;King-f+3+4;Jaguar Sprint;r30 JGR;;
df+1;m;15;i14~15;-1;+3s;;* Forces standing on hit.;;;King-df+1;;r26;;
df+1,2;m, m;15, 15;i14~15, i20~21;-10;+5s;;"* Combo from 1st hit with 5F delay
* Combo from 1st CH with 9F delay
* Jail from 1st block with 5F delay
* Move can be delayed by 11F
* Input can be delayed by 13F";;;King-df+1,2;Elbow Sting;r29;;File:t8-p2-king-df+1,2.mp4
df+2;m;12;i13;-6;+4s;;* Forces standing on hit.;;;King-df+2;;r25;;
df+2,1;m, h;12, 15;i13, i20~21;-4;+24a;;"* Combo from 1st CH with 12F delay
* Move can be delayed by 13F";;;King-df+2,1;Double Hook Disaster;r28;;File:t8-p2-king-df+2,1.mp4
df+3;m;17;i14;-9;+6s;;"* Forces standing on hit.
* Tracks left side.";;;King-df+3;;;;
df+3,4;m, h;17, 23;i14, i30;+0;+28d;;"* Combos on CH, otherwise opponent can duck.
* Available only on 1st hit or block
* Recovers in FDFT.
Low crush 22~";js22~;FDFT;King-df+3,4;Lasso Kick;r FDFT;;File:t8-p2-king-df+3,4.mp4
df+4;l;10;i14~15;-14;-3;;;;;King-df+4;;r32;;
df+4,3;l, h;10, 11;i14~15, i22;-5;+6;;* Combo from 1st CH;;;King-df+4,3;;r24;;
df+4,3,4;l, h, m;10, 11, 27;i14~15, ,i28~29;-15;+6a (-3);+47a(+16);"* Balcony Break
* Combo from 2nd CH. 
* Crumple on 3rd CH.
* Shift to r32? BT (-8, +13a (+4a), +54a (+23a)) with B 
* Shift to backturn is 14F punishable.
Low crush 18~";bbr js18~;;King-df+4,3,4;Mincer;r38;;File:t8-p2-king-df+4,3,4.mp4
df+4,3,d+4;l, h, L;10, 11, 20;i14~15, ,i33~35;-10;-8a FC;+22a FC;"* Recovers in crouch on hit.
* Otherwise recovers in FDFT.
Low crush 25~";js25~;FDFT;King-df+4,3,d+4;Mincer Low;r FDFT;;File:t8-p2-king-df+4,3,d+4.mp4
d+1;s.l;5;i10;-5;+6;;High crush 4~;cs4~;FC;King-d+1;;r FC;;
d+1,2;s.l,m;5,13;i10,i15~17;-11;+5s;;"* Jail from 1st block
* Combo from 1st CH
* Forces standing on hit.";;;King-d+1,2;Jab > Uppercut;r28;;File:t8-p2-king-d+1,2.mp4
d+2;s.l;8;i11;-4;+7;;;;FC;King-d+2;;r FC;;
d+3;L;12;i17;-12;+1;;* Hits OTG.;;;King-d+3;Stomp;r31;;File:t8-p2-king-d+3.mp4
d+4;l;6;i14;-15;-4;;;;FC;King-d+4;;r34 FC;;
d+1+2;m;21;i23;-24;+45a(+35);;"* Tornado
High crush 6~23";trn cs6~23;;King-d+1+2;Atlas Hammer;r45;;File:t8-p2-king-d+1+2.mp4
d+2+3;M;25;i30~35;-8;+0c;;"*
Floor Break
Low crush 21~32, fs33~54";fbr js21~32 fs33~54;;King-d+2+3;Corporate Elbow;r43?;;File:t8-p2-king-d+2+3.mp4
d+3+4;L;14;i16;-25;-9;;"* On CH, can access Stagger Kicks Flurry (d+3+4,4,4,4)
High crush 6~";cs6~;FC;King-d+3+4;;r44 FC;;
d+3+4,4;L, L;14, 7;i16, i29;-25;-9;;"* Combo from 1st hit on CH.
High crush 1~";cs1~;FC;King-d+3+4,4;;r FC;;
d+3+4,4,4;L, L, L;14, 7, 7;i16, ,i29;-25;-9;;"* Combo from 2nd hit on CH.
High crush 1~";cs1~;FC;King-d+3+4,4,4;Stagger Kicks;r FC;;File:t8-p2-king-d+3+4,4,4.mp4
d+3+4,4,4,2;L, L, L, m;14, 7, 7, 10;i16, ,i28;-15;+5;;* Balcony Break;bbr;;King-d+3+4,4,4,2;Stagger Kick Spinning Uppercut;;;File:t8-p2-king-d+3+4,4,4,2.mp4
d+3+4,4,4,4;L, L, L, L,L;14, 7, 7, 4,3;i16, ,i29,i29;-26;+15;;"* Only available if 1st hit on CH.
* Combo from 3rd hit
High crush 1~";cs1~;FC;King-d+3+4,4,4,4;Stagger Kick Flurry;r FC;;
db+2;m;21;i25~26;-5c;+19a;;* Forces Crouching on block.;;;King-db+2;Brain Chop;r30;;File:t8-p2-king-db+2.mp4
db+3;L;17;i23;-14;+4c;+25a;"* Tracks left side.
* Flip over on grounded hit
High crush 6~";cs6~;FC;King-db+3;Crouching Low Kick;r33 FC;;File:t8-p2-king-db+3.mp4
db+4;L;20;i29~31;-17a;-3d;+27d;"* r41 FC on hit
High crush 6~14 Low crush 16~29 fs30~";cs6~14 js16~29 fs30~;FDFT;King-db+4;Low Drop Kick;r65 FDFT;;File:t8-p2-king-db+4.mp4
db+1+2;;;;;;;"* Damage taken during power crush state is recoverable
* Cancel into db1+2,2 (Emerald Elbow) on frames 17~60 with input 2
* Cancel into r30 JGR with input 3+4 on frame 35
* Cancel into movement or crouch or any attack on frame 40 (r40)
Power crush 6~59";pc6~59;;King-db+1+2;Muscle Armor;r17;;
db+1+2,2;m,t;15,20;i15;-9;+8g;;"* Heat Engager

* Heat Dash +5 on block, +67a(+50a) on hit.

* Reversal Break after absorbing attack with muscle armor
* Effective startup is i32
* +35g on heat engager hit
* Shifts to throw on front grounded hit.
* -5 on block after absorbing an attack with muscle armor.
* 6 chip damage on block after absorbing an attack with muscle armor.
* Transition into +12? JGR with input 3+4 on throw hit";he;;King-db+1+2,2;Muscle Armor > Emerald Elbow;r28;;File:t8-p2-king-db+1+2,2.mp4
db+1+2,3+4;;;;;;;"* Effective startup for stance moves is increased by 65 frames starting from db1+2 (Muscle Armor) startup
* pc7~ in heat";;JGR?;King-db+1+2,3+4;Muscle Armor > Jaguar Sprint;r30 JGR?;;File:t8-p2-king-db+1+2,3+4.mp4
b+1;h;13;i12;-8;+3;+3a;;;;King-b+1;Quick Hook;r27;;
b+1,2;h, h;13, 20;i12, i19~20;-13;+5;+70a(+54)*;"* Tornado
* Combo from 1st hit with 8F delay
* Combo from 1st CH with 10F delay
* Launches opponent if b+1 on CH.
* Move can be delayed by 6F
* Input can be delayed by 10F";trn;;King-b+1,2;Quick Hook > Uppercut;;;File:t8-p2-king-b+1,2.mp4
b+1,4;h, m;13, 23;i12, i26~28;-10;+1d;+18(-17)*;"* Combo from 1st CH with no delay.
* Recovers in FUFT.
* Move can be delayed by 6F
* Input can be delayed by 10F";;FUFT;King-b+1,4;Quick Hook > Heel Kick;r FUFT;;File:t8-p2-king-b+1,4.mp4
b+1+3;r(m);25;i10;;+2d;;"Floor Break
* Parry opponent's right punch.
* Side Switch. Opponent recovers in FUFR.";fbr;;King-b+1+3;Arm Whip;;;File:t8-p2-king-b+1+3.mp4
b+2;h;16;i14;-5;+1;;;;;King-b+2;Chupacabra;r24;;
b+2,1;h, h;16, 21;i14, i20~21;-9;+19a(+10);;"* Balcony Break
* Combo from 1st hit with 5F delay (buffered).
* Move can be delayed by 10F
* Input can be delayed by 15F";bbr;;King-b+2,1;Chupacabra > Spinning Back Elbow;r32;;File:t8-p2-king-b+2,1.mp4
b+2,4;h, m,t;16, 18,20;i14, i21;-8;+10s/+0;;"* Shifts to throw on front grounded hit.
* Move can be delayed by 10F
* Input can be delayed by 15F";;;King-b+2,4;Chupacabra > Olympia Slam;r26;;File:t8-p2-king-b+2,4.mp4
b+2,1+2;h, h;16, 22;i14, i24~25;+2c;+22a;;"* Forces crouching on block.
* Move can be delayed by 10F
* Input can be delayed by 15F";;;King-b+2,1+2;Chupacabra > Head Butt;r27;;File:t8-p2-king-b+2,1+2.mp4
b+2+4;r(m);25;i10;;+24d;;"* Parry opponent's left kick.
* Side Switch. Opponent recovers in FUFL.";;;King-b+2+4;Spinning Heel Hold;;;File:t8-p2-king-b+2+4.mp4
b+2+4:3+4;r(m);25(,28);i10;;+27d(+1d);;"* 2 Throw Break
* Parry opponent's right kick.
* Just frame input right before camera returns to normal position to deal extra damage. 
* Opponent recovers in FUFT.";;;King-b+2+4:3+4;Leg Screw > Figure Four Leg Lock;;;
b+3;h;23;i16~18;-10/-5;+39d;;"* Tornado
* Balcony Break
* -5 on block after absorbing an attack in power crush state.
* 9 chip damage on block after absorbing an attack in power crush state.
* 10 chip damage on block after absorbing an attack in power crush state while in heat.
Power crush 7~";trn bbr pc7~;;King-b+3;Toll Kick;r33;;File:t8-p2-king-b+3.mp4
b+3:1+2;h, t;23, 15;i16~18, ;;-7d;;"* Shifts to throw on front grounded hit.
* Input 1+2 before b+3 hits.";;;King-b+3:1+2;Guillotine Drop;;;File:t8-p2-king-b+3c1+2.mp4
b+4;h;25;i17~21;+2;+14gc;;"* Balcony Break
* Shifts into BT stance.
* Forces crouching on hit";bbr;BT;King-b+4;Disgraceful Kick;r29 BT;;File:t8-p2-king-b+4.mp4
b+3+4;;;;;;;"* Cannot be held to continue spinning.
Low crush 6~21 fs22~24";js6~21 fs22~24;JGS;King-b+3+4;Reverse Jaguar Step;r24 JGS;;File:t8-p2-king-b+3+4.mp4
ub+4;m;15;i15;-13;+19a(+9);+33a(+23);"* Jump straight up knee, very short range.
Low crush 9~";js9~;;King-ub+4;;;;
u+1+2;m;25;i35~36;+2c;+22a;;"* Tap 1+2 otherwise it becomes u+1+2(hold).
* Forces Crouching on block.
Low crush 9~";js9~;;King-u+1+2;Capital Punishment;r27;;File:t8-p2-king-u+1+2.mp4
u+1+2*;m!;40;i67;;+11d;;"* Unblockable mid.
* Auto switch side if fly over opponent.
Low crush 9?~";js9?~;;King-u+1+2*;Burning Knuckle;r38?;;File:t8-p2-king-u+1+2s.mp4
uf+1;h;21;i20~23;-3;+36a(+27);;"Homing
Balcony Break";hom bbr;;King-uf+1;Water Parting Chop;r27;;File:t8-p2-king-uf+1.mp4
uf+2;M;35;i47~53;-17c;-7d/-4c;;"* Hits OTG.
* u+2 to jump vertical (js9~), ub+2 to jump back (js9~).
* Force Crouching on block. (ub+2 also on hit)
Low crush 10~";js10~;FUFA;King-uf+2;High Elbow Drop;r FUFA;;File:t8-p2-king-uf+2.mp4
uf+3;M;23;i22~29;-10;-1d;;Low crush 13~;js13~;FUFA,FUFT;King-uf+3;Falling Heel Kick;r FUFA/FUFT;;File:t8-p2-king-uf+3.mp4
uf+4;m;13;i15;-13;+33a(+23);;"* Recovers 2F faster on hit or block (r30? t46?)
Low crush 9~";js9~;;King-uf+4;Jumping Knee Lift;r32?;;File:t8-p2-king-uf+4.mp4
uf+3+4;m;23;i22~23;-12/-7;+25g / +22g;;"* Tornado
* -7 on block after absorbing an attack in power crush state.
* 9 chip damage on block after absorbing an attack in power crush state.
* 10 chip damage on block after absorbing an attack in power crush state while in heat.
* Shifts to r27 JGR on hit.
* Cancel shift into JGR on hit at +22 r55?  with input B
Power crush 7~";trn pc7~;;King-uf+3+4;Sole Crusher;r32?;;File:t8-p2-king-uf+3+4.mp4
1+2+3+4;;;;;;;"* Takes some time to charge and can cancel into anything.
* After charged next hit by either side becomes counter hit.";;;King-1+2+3+4;Ki Charge;;;File:t8-p2-king-1+2+3+4.mp4
DF;r(l);0;;;+51a(+35);;"* Generic low parry.
* Tornado affect on success.";;;King-DF;Low Parry;;;File:t8-p2-king-df.mp4
f,F+1;m;21;i20~21;-5;+14g;+38d;"* Homing
* Balcony Break";hom bbr;;King-f,F+1;Jaguar Hook;r28;;File:t8-p2-king-f,f,1.mp4
f,F+2;m;21;i31~32;+7;+12c;;"* Forces crouching on hit.
* Allow crouching throw on hit.
* 6 chip damage on block.
* 8 chip damage on block in heat.";;;King-f,F+2;Beast Elbow;r30;;File:t8-p2-king-f,f,2.mp4
f,F+4;m,(t);25,(14);i15;-15;+14a(+4);+1d;"* Tornado
* Balcony Break
* Shifts to 14dmg throw on front grounded CH.";trn bbr;;King-f,F+4;Konvict Kick;;;File:t8-p2-king-f,f,4.mp4
f,F+2+3;M,t;20,15;i21~43;-16c~+2c;-19c~+3c/-5d;;"* Forces crouching on block and hit.
* Throw when hit standing in front close range.
Low crush 12~";js12~;FDFA;King-f,F+2+3;Diving Body Press;r FDFA;;
f,F+3+4;h;25;i28~30;0;+24d(-34);;"* Wall Crush +2gc on block


* Balcony Break
* Chip damage on block. (extra near wall)
* Forces crouch on wall crush
* Recovers FUFT on whiff.
* 7 chip damage on block.
* 10 chip damage on block as wall crush.
* 10 chip damage on block in heat.
* 13 chip damage on block as wall crush in heat.
Low crush 9~";wc bbr chp js9~;FUFT;King-f,F+3+4;Exploder;r (FUFT);;File:t8-p2-king-f,f,3+4.mp4
f,f,n,2;L,(t);17,(30);i18;-13;+5s/(0d);;"* Shifts to throw on front grounded CH.
* Hits OTG.
High crush 6~";cs6~;;King-f,f,n,2;Stomach Smash / Jaguar Hammer;r32;;File:t8-p2-king-f,f,n,2.mp4
f,f,n,1+2;m;0;i9;+0;+7s;+18s;"* Forces Standing on hit.
* Allows follow up on CH.";;;King-f,f,n,1+2;Lay Off;r23;;File:t8-p2-king-f,f,n,1+2.mp4
f,n,d,df;;;;;;;"* Duck high while moving forward.
* Input f,n,d,df,f+(button) for instant ws moves.
* 1st f cannot be held more than 10 frames.";;;King-f,n,d,df;Beast Step;r1;;File:t8-p2-king-f,n,d,df.mp4
uf,n,4;m;20;i23~25;-13;+32a(+22);;Low crush 9~;js9~;;King-uf,n,4;Delayed Rising Toe Kick;;;File:t8-p2-king-uf,n,4.mp4
f,f,F+3;m;25;i20~25;+3;+30(+22);;"Balcony Break
* 7 chip damage on block.
* 10 chip damage on block in heat.";bbr;;King-f,f,F+3;Strong Knee;r30;;File:t8-p2-king-f,f,f,3.mp4
f,f,F+3+4;m;40;i28~34;+17;+32d(-26);;"Balcony Break
Low crush 9~";bbr js9~;FUFT;King-f,f,F+3+4;Running Exploder;r42? FUFT;;File:t8-p2-king-f,f,f,3+4.mp4
ws1;m;12;i10~11;-3;+4s;;"* Acts like 11 frame attack.
* Forces Standing on hit.";;;King-ws1;;r22;;
ws2;m;11;i14;-9;+1s;;"* Homing
* Forces Standing on hit.";hom;;King-ws2;;r33;;
ws2,2;m, m;11, 25;i14, i15~16;-12;+12g;;"* Balcony Break
* Combo from 1st hit with 9F delay
* Combo from 1st CH with 16F delay
* Recover 3F faster on hit(r30? t66?)
* Transition to JGR on hit
* Cancel to standing with B
* Move can be delayed by 10F
* Input can be delayed by 16F";bbr;JGR;King-ws2,2;Round Trip Chop;r33;;File:t8-p2-king-ws2,2.mp4
ws3;h;20;i16;0;+22a(+12);;;;;King-ws3;;r28;;
ws4;m;20;i11~12;-6;+5;;;;;King-ws4;Toe Smash;r24;;File:t8-p2-king-ws4.mp4
ws1+2;m;20;i18~19;-10;+35a(+25);;;;;King-ws1+2;Snap Uppercut;r28;;File:t8-p2-king-ws1+2.mp4
ss2;h;25;i19~20;-5;+18a(+9);;Balcony Break;bbr;;King-ss2;Victory Palm;;;File:t8-p2-king-ss2.mp4
ss2+4,b/db;;;;;;;"* Side Step that ducks high and covers long distance quickly, recovers in crouch.
* Input by u/d,n,n+2+4,b/db.";;FC;King-ss2+4,b;Reverse Special Stretch Bomb (Cancel);r FC;;
ss3+4;h;50;i27~31;0;+0d;;"* Deals a lot of chip damage on block.
* Tracks side steps.
* In game frame data incorrectly shows that SSL 3+4 is i21";;FDFA;King-ss3+4;Deadly Boomerang;r FDFA;;File:t8-p2-king-ss3+4.mp4
FC.df+1;L;20;i32~34;-12;+73a(+57);;"* Can also be performed with f,n,d,DF+1/CD.1.
* Tornado on grounded hit.
High crush 1~";cs1~;FC;King-FC.df+1;Leg Breaker;r29 FC;;File:t8-p2-king-fc.df+1.mp4
FC.df+2;m;21;i15;-14;+56a;;* Crumple on hit.;;;King-FC.df+2;Body Blow;r33;;File:t8-p2-king-fc.df+2.mp4
FC.d+3;L;10;i18;-17;-6;;"* Can also be done by FC.db+3.
* Get extra range by FC.df+3/CD.DF+3.";;FC;King-FC.d+3;;r FC;;
BT.3;M;18;i13~14;-13;+9s;+50d;"* Tornado
* Hits OTG. Forces standing on normal hit.
* Crumple on CH for full combo.";trn;;King-BT.3;Blind Kick;;;File:t8-p2-king-bt.3.mp4
BT.3:1+2;M, t;18, 20;i13~14, ;;+0d;;"* Floor Break
* Throw when hit standing in front close range.
* Just frame input.";fbr;;King-BT3,1+2;Blind Kick > Neck Breaker;;;File:t8-p2-king-bt3,1+2.mp4
BT.1+2;h!;45;i26~30;;+2d;;* Unblockable high attack.;;;King-BT.1+2;Atomic Blaster;;;File:t8-p2-king-bt.1+2.mp4
BT.1+4;M!;30;i41~47;;+6d;;"* Unblockable mid attack.
Low crush 8~";js8~;FDFA;King-BT.1+4;Moonsault Body Press;r FDFA;;File:t8-p2-king-bt.1+4.mp4
BT.3+4;;;;;;;"* Jaguar Step away from the oppponent while keeping backturn stance on recovery.
* Can cancel into BT.1+2 / BT.1+4 unblockable.
* Can hold 3+4 to keep spinning.
* Cannot Reverse Jaguar Step in BT stance.
Low crush 6~";js6~;JGS;King-BT.3+4;Jaguar Step (BT);r24? BT JGS;;
BT.d+4;l;20;i22~24;-14;-2d;+28d;"* Recovers in FDFT on block and whiff.
* Also can be done in backturn crouching.
Low crush 11~";js11~;FC,FDFT;King-BT.d+4;Low Drop Kick (BT);r FC/FDFT;;
CD.1+2;M;24;i20~23;-5c;+16d;+52a;"Balcony Break
* Bounce off ground on CH for full combo.";bbr;;King-CD.DF+1+2;Black Bomb;r32;;File:t8-p2-king-cd.1+2.mp4
CD.DF+4;m;21;i15~16;-9;+49a(+18);+53a;"* Special down state that allows low juggle (on normal hit).
* Crumple on CH for full combo.";;;King-CD.DF+4;Knee Lift;r36;;File:t8-p2-king-cd.4.mp4
FUFT.b+3+4;m;25;i16~28;-25;+4a(-6);;"Balcony Break
* Faster than normal spring kick and knocks down.";bbr;;King-FUFT.b+3+4;Whirling Spring Kick;;;
JGR.1;m;21;i16~17;-8;+26c;;"* Balcony Break
* Power up into JGR.1* after 30F? or during Heat
** Partially uses remaining Heat time during Heat.";bbr;;King-JGR.1;Running Elbow Smash;r28;;File:t8-p2-king-jgr.1.mp4
JGR.1*;m;25;i16~17;-4;+75a (+59);;"* Tornado on normal hit
* Effective startup i46~47?
* Partially uses remaining Heat time during Heat.";;;King-JGR.1*;Running Elbow Smash (charged);r28;;
JGR.2;h;24;i18~19;+3;+5a;;"* Strong Aerial Tailspin
* 4 chip damage on block.
* Power up into JGR.2* after 30F? or during Heat
** Partially uses remaining Heat time during Heat.";;;King-JGR.2;Jaguar Axe;r33;;File:t8-p2-king-jgr.2.mp4
JGR.2*;h;28;i18~19;+8;+32a;;"* Balcony Break
* Effective startup i48~49?
* 8 chip damage on block
* Partially uses remaining Heat time during Heat";bbr;;King-JGR.2*;Jaguar Axe (charged);r33;;
JGR.3;m;30;i22~23;-9;+12d (+2);;"* Balcony Break
* Homing
* Power up into JGR.3* after 30F? or during Heat
** Partially uses remaining Heat time during Heat.
Low crush 11~30 fs31~33";bbr hom js11~30 fs31~33;;King-JGR.3;Sprint K.;r43;;File:t8-p2-king-jgr.3.mp4
JGR.3*;m;34;i22~23;+2;+21a (-5);;"* Balcony Break
* Homing
* Effective startup i52~53?
* 10 chip damage on block
* Partially uses remaining Heat time during Heat
Low crush 11~30 fs31~33";bbr hom js11~30 fs31~33;;King-JGR.3*;Sprint K. (charged);r43;;
JGR.4;L;20;i20~24;-21;+0c;;"* Power up into JGR.4* after 30F? or during Heat
** Partially uses remaining Heat time during Heat.
Low crush 7~23 fs24~";js7~23 fs24~;FUFT;King-JGR.4;Dashing Low Drop Kick;r36 FUFT;;File:t8-p2-king-jgr.4.mp4
JGR.4*;L;24;i20~24;-21;+20a;;"* Effective startup i50~54?
* Partially uses remaining Heat time during Heat.
Low crush 7~23 fs24~";js7~23 fs24~;FUFT;King-JGR.4*;Dashing Low Drop Kick (charged);r36 FUFT;;
JGR.1+2;M,t;20,15;i21~43;-16c~+2c;-19c~+3c/-5d;;"* Throw when hit standing in front close range.
* King recovers off axis
* Power up into JGR.1+2* after 30F? or during Heat
** 24,15dmg and i51~73? effective startup (without Heat)
** Partially uses remaining Heat time during Heat";;FDFA;King-JGR.1+2;Diving Body Press;r27 FDFA;;
JGS.1;h;21/25/31;i17~18/i19~20;-7/-1;+47d/+53d;;"* Crumple on hit.
* On block / hit / startup increases up to 2nd spin.
* Damage increase up to 3rd spin.";;;King-JGS.1;Jaguar Step > Hook;;;File:t8-p2-king-jgs.1.mp4
JGS.2;m;15/18/22;i11~12;-9/-2/0c;+12c;;"* Forces Crouching on hit.
* Forces Crouching on block from 3rd spin on.
* Damage increase up to 3rd spin.";;;King-JGS.2;Jaguar Step > Hammer;;;File:t8-p2-king-jgs.2.mp4
