Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Recovery state;Image;Video;Wavu id;Character id
2,3;h, m;10, 15;i10, i18;-13;+0d;;"* Knee
* Combo from 1st CH with 7f delay
* Input can be delayed 12f
* Move cannot be interrupted
* Transition to Triple Slaps throw automatically on standing front hit
* Throw is unbreakable, rest of the chain throw is breakable";kne;;Right Jab > Spider Knee;33;;;File:t8-p2-nina-2,3.mp4;Nina-2,3;nina
3;h;14;i14;-16;-5;;;;;;35;;;File:t8-p2-nina-3,2.mp4;Nina-3;nina
3,2;h, m;14, 22;i14, i19;-9;+36a;;"* Balcony Break
* Side roll takes 34 frames, effective startup i53
* Interrupt with i33 from 1st block
* Whiffs vs SS, SW from 1st normal hit (whiffs vs delayed SS/SW from 1st block)
* 6 chip damage on block
* Cancel to r38 FC with D";bbr stp:SS intr:33 chp:6;FC;Left High Kick > Spiral Explosion;31;;;File:t8-p2-nina-3,2.mp4;Nina-3,2;nina
3,3;h, h;14, 4;i14, i17;-14;-3;;Jail from 1st attack;;;;33;;;File:t8-p2-nina-3,3,3,4.mp4;Nina-3,3;nina
3,3,3;h, h, h;14, 4, 6;i14, ,i17;-14;-3;;"* Jail from 1st block
* Duckable";;;;33;;;File:t8-p2-nina-3,3,3,4.mp4;Nina-3,3,3;nina
3,3,3,4;h, h, h, h;14, 4, 6, 20;i14, ,i24;-6;+20a (+11);;"* Balcony Break
* Combo from 3rd CH with 6f delay
* Interrupt with i4 from 1st block
* Input can be delayed 10f";bbr intr:4;;Flash Kicks;30;;;File:t8-p2-nina-3,3,3,4.mp4;Nina-3,3,3,4;nina
3,4;h, h;14, 20;i14, i22;-6;+20a (+11);;"* Balcony Break
* Combo from 1st hit with 8f delay
* Interrupt with i2 from 1st block
* Input can be delayed 10f";bbr intr:2;;Head Ringer;30;;;File:t8-p2-nina-3,4.mp4;Nina-3,4;nina
4;h;15;i11;-9;+7;+7s;;;;High Kick;28;;;File:t8-p2-nina-4,2.mp4;Nina-4;nina
4,2;h, m;15, 22;i11, i19;-9;+3;+37a;"* Balcony Break
* Side roll takes 35 frames, effective startup i54
* Interrupt with i34 from 1st block
* Interrupt with i23 from 1st hit
* Whiffs vs SW from 1st normal hit (whiffs vs delayed SS/SW from 1st block)
* 6 chip damage on block
* Cancel to r38 FC with D";bbr intr:34 chp:6;FC;Right High Kick > Spiral Explosion;31;;;File:t8-p2-nina-4,2.mp4;Nina-4,2;nina
4,3;h, m;15, 20;i11, i29~30;-2c;+5c;+21a;"* Spike
* Interrupt with i13 from 1st block
* Whiffs vs SSR from 1st block";spk stp:SSR intr:13;;Easy Prey Kick Combo;27;;;File:t8-p2-nina-4,3.mp4;Nina-4,3;nina
4,4;h, h;15, 21;i11, i28~39;-7;+4;;"* Balcony break on airborne hit
* Combo from 1st CH
* Interrupt with i8 from 1st block
* Low crush 21~34
* Floating state 35~37";intr:8 js21~34 fs35~37;;;31;;;File:t8-p2-nina-4,4,4.mp4;Nina-4,4;nina
4,4,4;h, h, L;15, 21, 20;i11, ,i30~31;-12;+4c;+46a;"* Balcony break on airborne hit
* Combo from 2nd CH
* Interrupt with i5 from 2nd block
* High crush 16~55";intr:5 cs16~55;;High Kick > Deadly Hunter;30;;;File:t8-p2-nina-4,4,4.mp4;Nina-4,4,4;nina
4,4,3+4;h, h, M,M;15, 21, 8,21;i11, ,i35~39 i43~49;-6~+0;+20a;;"* Spike
* Combo from 2nd CH
* Interrupt with i10 from 2nd block
* Whiffs vs delayed SWL from 2nd block (Must perform SSL->SWL)
* Low crush 29~36
* Floating state 37~42";spk intr:10 js29~36 fs37~42;;High Kick > Deadly Assault;24;;;File:t8-p2-nina-4,4,3+4.mp4;Nina-4,4,3+4;nina
1+2;m;19;i16~17;-3;+8;;Homing;hom;;Ray Hands;24;;;File:t8-p2-nina-1+2.mp4;Nina-1+2;nina
1+4;m,m;4,20;i15~16 i13~14;-5;+4c;+6c;"* Spike
* Transition to CD with F
* Second hit is +7c on CH if the first hit whiffs";spk;CD;Ivory Cutter;28;;;File:t8-p2-nina-1+4.mp4;Nina-1+4;nina
3+4;m;20;i18~19;-10;+11g;;"* Balcony Break
* Homing
* Enter CD -6 +15g t34 r15 with F";bbr hom;CD;Fatal Blow;31;;;File:t8-p2-nina-3+4.mp4;Nina-3+4;nina
f+2;h;12;i13;-3;+8;;;;;;22;;;File:t8-p2-nina-f+2,1,3.mp4;Nina-f+2;nina
f+2,1;h, m;12, 12;i13, i19~20;-13;-6s;;"* Combo from 1st CH with 9f delay
* Jail from 1st block with ?F delay";;;;35;;;File:t8-p2-nina-f+2,1,3.mp4;Nina-f+2,1;nina
f+2,1,3;h, m, M;12, 12, 20;i13, ,i27~29;-15~-13;+27a;;"* Tornado
* Aerial combo from 1st CH with 2f delay (+63a (+47))
* Interrupt with i5 from 1st block
* Input can be delayed 19f
* Move can be delayed 18f
* Low crush 26~40
* Floating state 41~43";trn intr:5 js26~40 fs41~43;;Swallowtail;39;;;File:t8-p2-nina-f+2,1,3.mp4;Nina-f+2,1,3;nina
f+2,1,4;h, m, h;12, 12, 22;i13, ,i25~27;-3~-1;+23a (+14);+40a;"* Balcony Break
* Aerial combo from 1st CH with 4f delay (+24a (+17))
* Interrupt with i3 from 1st block
* Input can be delayed 19f
* Move can be delayed 18f";bbr intr:3;;Mimosa Combo;25;;;File:t8-p2-nina-f+2,1,4.mp4;Nina-f+2,1,4;nina
f+3;h,h;10,20;i14~15 i10~11;+3~+4;+24a (+15);+54a;"* Balcony Break
* Does not jail
* 2nd hit is homing";bbr;;Siren's Kiss;25;;;File:t8-p2-nina-f+3.mp4;Nina-f+3;nina
f+4;m;15;i21~22;-5;+5;;"* Enter SS +2 +12 with D_U
* Low crush 12~21
* Floating state 22~24";js12~21 fs22~24;SS;;28;;;File:t8-p2-nina-f+4,2.mp4;Nina-f+4;nina
f+4,2;m, h;15, 22;i21~22, i18;-9;+13c;;"* Heat Engager

* Heat Dash +5, +36a (+26)

* Balcony Break
* Combo from 1st hit with 14f delay
* Move cannot be interrupted
* Input can be delayed 15f
* Move can be delayed 9f
* Forces tech backroll on hit";he bbr;;Aconite;35;;;File:t8-p2-nina-f+4,2.mp4;Nina-f+4,2;nina
f+1+2;m;24;i17;-14;+11a (+2);;"* Balcony Break
* Frame advantage is -8 if an attack is absorbed
* Deals chip damage if an attack is absorbed
* Power crush 7~16";bbr pc7~16;;Blonde Bomb;34;;;File:t8-p2-nina-f+1+2.mp4;Nina-f+1+2;nina
f+3+4;m;12;i14;-6;+1;+6;Knee;kne;;;;;;File:T8-nina-f+3+4,1.mp4;Nina-f+3+4;nina
f+3+4,1;m, m;12, 22;i14, i27;-14;+10a (+1);;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Combo from 1st hit with 4F delay
* Move can be delayed by 3F
* Input can be delayed by 4F
* Interrupt with i4 from 1st block";he bbr intr:4;;Impact Palm Bomb;;;;File:T8-nina-f+3+4,1.mp4;Nina-f+3+4,1;nina
f+3+4,2;m, sm,sm;12, 12,12;i14, i30, i5;-9;+8c;;"* Balcony Break
* Combo from 1st CH with 5F delay
* Available only as combo from 1st hit
* 4 chip damage on block
* Forces tech backroll on hit
* Move can be delayed by 4F
* Input can be delayed by 5F
* Interrupt with i7 from 1st block";bbr intr:7 chp:4;;Quick Kiss Shot;;;;;Nina-f+3+4,2;nina
H.f+3+4,2;m, sm,sm,sm,sm;12, 12,12,5,5;i14, i30, i5, i6, i6;-6;+19a (+9);;"* Balcony Break
* Combo from 1st CH with 5F delay
* Available only from 1st hit or block
* 12 chip damage on block
* Consumes 180F of remaining Heat time
* Move can be delayed by 4F
* Input can be delayed by 5F";bbr chp:12;;Quick Kiss Shot;37;;;;Nina-f+3+4,H.2;nina
df+1;m;10;i13~14;-1;+5;;;;;Uppercut;19;;;File:t8-p2-nina-df+1,2.mp4;Nina-df+1;nina
df+1,2;m, h;10, 10;i13~14, i16;-5;+2;;"* Jail from 1st block
* Combo from 1st hit
* Enter SS -1 +6 +13 with D_U
* Enter CD +0 +7 +14 with F
* Links to 1 jab extensions";;SS,CD,1 jab extensions;Uppercut > Jab;21;;;File:t8-p2-nina-df+1,2.mp4;Nina-df+1,2;nina
df+1,2,1;m, h, h;10, 10, 17;i13~14, ,i26~27;-3;+2;;"* Interrupt with i7 from 1st block
* Whiffs vs SSL from 1st block
* Move cannot be delayed";stp:SSL intr:7;;;32;;;;Nina-df+1,2,1;nina
df+1,2,1,1+2;m, h, h, h,h,h;10, 10, 17, 6,6,6;i13~14, ,i25 i32 i39;-9;+8c;;"* Balcony Break
* Weapon
* Jail from 3rd block
* Combo from 2nd CH with 4F? delay
* 12 chip damage on block
* Power up in Heat
* Forces tech backroll on hit
* Move cannot be delayed
* Input can be delayed by 4F";bbr wpn chp:12;;Biting Kiss Shot;40;;;;Nina-df+1,2,1,1+2;nina
H.df+1,2,1,1+2;m, h, h, h,h,h,h,h;10, 10, 17, 6,6,6,[5],[5];i13~14, ,i25,i6,i6,i5,i5;-2;+29a (+3);;"* Balcony Break
* Weapon
* Jail from 3rd attack
* Combo from 2nd CH with 4F? delay
* 13 chip damage on block
* Consumes 180F of remaining Heat time
* Move cannot be delayed
* Input can be delayed by 4F";bbr wpn chp:13;;Biting Kiss Shot;37;;;;Nina-df+1,2,1,H.1+2;nina
df+1,2,4;m, h, h;10, 10, 22;i13~14, ,i22;-6;+20a (+11);+49a;"* Balcony Break
* Move can be delayed by 10F
* Interrupt with i3 from 2nd block";bbr intr:3;;Bermuda Triangle;30;;;;Nina-df+1,2,4;nina
df+1,2,1+2;m, h, m;10, 10, 22;i13~14, ,i23;-14;+17a (+8);+36d (+28);"* Balcony Break
* Move can be delayed by 10F
* Interrupt with i4 from 2nd block
* Recovers 6F faster on hit (r28 t81)";bbr intr:4;;Double Explosion;34;;;;Nina-df+1,2,1+2;nina
df+2;m;12;i15~16;-7;+34a (+24);;"* +4s on hit against crouching opponent
* Does not launch crouching opponent";;;Silent Uppercut;25;;;File:t8-p2-nina-df+2.mp4;Nina-df+2;nina
df+3;m;13;i14;-11;+0;+1;;;;;29;;;File:t8-p2-nina-df+3,1,2.mp4;Nina-df+3;nina
df+3,1;m, h;13, 10;i14, i30;-8;+3;;"* Combo from 1st CH
* Interrupt with i11 from 1st block
* Whiffs vs SSR, SWR from 1st block
** Must delay SSR or perform SSR to delayed SWR
* Move can be delayed by 10f
* Cancel to SS -19 -8 -7 with D_U";stp:SSR intr:11;SS;;27;;;File:t8-p2-nina-df+3,1,2.mp4;Nina-df+3,1;nina
df+3,1,2;m, h, M;13, 10, 20;i14, ,i25~27;-12c;+16d;+16a;"* Balcony Break
* Spike
* Combo from 1st CH or 2nd hit
* Interrupt with i5 from 2nd block
* Opponent is FDFA on NH
* Opponent is FUFT on CH, can combo";bbr spk intr:5;;Dead Drop Combo;35;;;File:t8-p2-nina-df+3,1,2.mp4;Nina-df+3,1,2;nina
df+3,2;m, h;13, 12;i14, i19;+1;+5;+12;"* Combo from 1st hit with 10f delay
* Move cannot be interrupted
* Enter SS 0 +4 +11 with D or U
* Enter CD -1 +3 +10 t29 r10 with F
* Enter SWA +8 +12 +19 with B";;SS,CD,SWA;;18;;;File:t8-p2-nina-df+3,2,1,4.mp4;Nina-df+3,2;nina
df+3,2,1;m, h, h;13, 12, 6;i14, ,i16;-3;+4;;"* Combo from 2nd CH with 9f delay
* Jail from 2nd block with 3f delay
* Links to 10-hit combo";;combo;;21;;;File:t8-p2-nina-df+3,2,1,4.mp4;Nina-df+3,2,1;nina
df+3,2,1,2;m, h, h, h;13, 12, 6, 6;i14, ,i16;;+1;;"* Jail from 3rd block with 2f delay
* Combo from 3th CH with 9f delay
* Move can be delayed by 11f";;;;;;;;Nina-df+3,2,1,2;nina
df+3,2,1,2,1+2;m, h, h, h, m;13, 12, 6, 6, 22;i14, ,i23;-14;+17a (+8);+36d (+28);"* Balcony Break
* Combo from 4th CH with 7f delay
* Interrupt with i3 from 4th block
* Move can be delayed 10f";bbr intr:3;;;34;;;;Nina-df+3,2,1,2,1+2;nina
df+3,2,1,4;m, h, h, L;13, 12, 6, 12;i14, ,i23;-13;-2;;"* Combo from 3rd CH with 2f delay
* Interrupt with i4 from 3rd block
* -2c vs crouching opponents
* Move can be delayed by 11f
* High crush 10~55";intr:4 cs10~55;FC;Creeping Snake;32;FC;;File:t8-p2-nina-df+3,2,1,4.mp4;Nina-df+3,2,1,4;nina
df+3,2,3;m, h, m;13, 12, 21;i14, ,i19~20;-17;+36a (+26);;"* Tornado
* Combo from 2nd CH with 10f delay
* Interrupt with i8 from 2nd block";trn intr:8;;Creeping Snake > Geyser Cannon;37;;;File:t8-p2-nina-df+3,2,3.mp4;Nina-df+3,2,3;nina
df+3,2,4;m, h, h;13, 12, 22;i14, ,i22;-6;+20a (+11);+49a;"* Balcony Break
* Combo from 2nd CH with 8f delay
* Interrupt with i2 from 2nd block
* Move can be delayed by 9f";bbr intr:2;;Creeping Snake > Right High Kick;30;;;File:t8-p2-nina-df+3,2,4.mp4;Nina-df+3,2,4;nina
df+3,3;m, m;13, 14;i14, i28;-10;+2c;;"* Spike
* Combo from 1st hit with 2f delay
* Interrupt with i9 from 1st block
* Whiffs vs SSR and SW from 1st block
* Move can be delayed 10f";spk stp:SSR intr:9;;Bisection Combo;34;;;File:t8-p2-nina-df+3,3.mp4;Nina-df+3,3;nina
df+4;m;15;i12;-4;+7;;;;;;23;;;;Nina-df+4;nina
df+3+4;;;i31~35;;;;"* i20~24 startup with input d,DF+4
* High crush 4~";cs4~;FC;;45;FC;;;Nina-df+3+4;nina
d+1;sl;5;i10;-5;+5;;"* Transition to r24? with f
* High crush 4~";cs4~;FC;Low Jab;24;FC;;File:t8-p2-nina-d+1,4.mp4;Nina-d+1;nina
d+1,4;sl, m;5, 10;i10, i16~17;-11;+0;;"* Combo from 1st CH
* Jail from 1st block with ?F delay";;;Low Jab > Mid Kick;29;;;File:t8-p2-nina-d+1,4.mp4;Nina-d+1,4;nina
d+2;L;13;i20;-12;+0;+5;"* Transition to -8, +2, +7 CD with F
* High crush 6~";cs6~;CD,FC;;31;FC;;File:t8-p2-nina-d+2,2.mp4;Nina-d+2;nina
d+2,2;L, M;13, 20;i20, i28~29;-12;+17a (+0);+71a (+55);"* Tornado
* Balcony Break
* Combo from 1st CH
* Interrupt with i8 from 1st block";trn bbr intr:8;;Vertical Slitter;32;;;File:t8-p2-nina-d+2,2.mp4;Nina-d+2,2;nina
d+3;L;10;i16;-17;-6;;* High crush 4~;cs4~;FC;Left Spin Low Kick;36;FC;;File:t8-p2-nina-d+3,2.mp4;Nina-d+3;nina
d+3,2;L, m;10, 18;i16, i25~27;-11~-9;+12~+14;;"* Combo from 1st CH
* Interrupt with i5 from 1st block";intr:5;;Left Spin Low Kick > Right Upper;30;;;File:t8-p2-nina-d+3,2.mp4;Nina-d+3,2;nina
d+3,4;L, h;10, 14;i16, i20;-8;+1;;"* Combo from 1st CH
* Move cannot be interrupted";;;;31;;;File:t8-p2-nina-d+3,4,3.mp4;Nina-d+3,4;nina
d+3,4,3;L, h, m;10, 14, 20;i16, ,i29~30;-7;+22a;;"* Balcony Break
* Spike
* Combo from 2nd hit
* Combo from 1st CH
* Interrupt with i5 from 2nd block";bbr spk intr:5;;Easy Prey;27;;;File:t8-p2-nina-d+3,4,3.mp4;Nina-d+3,4,3;nina
d+4;l;6;i12;-15;-4;;* High crush 4~;cs4~;FC;Right Low Kick;34;FC;;File:t8-p2-nina-d+4,1.mp4;Nina-d+4;nina
d+4,1;l, h;6, 10;i12, i24;+0;+6;+11;"* Combo from 1st CH with 6f delay
* Interrupt with i4 from 1st block
* Input can be delayed 9f
* Cancel to SS with D_U (-13/-2)
** Cannot block up to i21 on block?";intr:4;SS;Right Low Kick > Back Spin Chop;19;;;File:t8-p2-nina-d+4,1.mp4;Nina-d+4,1;nina
db+2;m;20;i24~25;-5;+8;+61a;"* Strong Aerial Tailspin
* Homing
* Crumple stun +11F on CH";hom;;Right Backhand Body Blow;31;;;File:t8-p2-nina-db+2.mp4;Nina-db+2;nina
db+3;L;17;i20;-13;+4c;+13a;;;;Stiletto Heel;32;;;File:t8-p2-nina-db+3.mp4;Nina-db+3;nina
db+4;L;5;i16~17;-9a;+2;;* High crush 6~16;cs6~16;FDFT;Slicer;27;FDFT;;File:t8-p2-nina-db+4,3.mp4;Nina-db+4;nina
db+4,3;L, m;5, 21;i16~17, i27~28;-13;+71a (+55);;"* Tornado
* Combo from 1st CH with 1f delay
* Interrupt with i8 from 1st block
* Whiffs vs SSR, SWR from 1st block";trn stp:SSR intr:8;;Geyser Cannon Combo;33;;;File:t8-p2-nina-db+4,3.mp4;Nina-db+4,3;nina
db+1+2;h,m;5,22;i11 i18;-14;+10a (+1);;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Jail from 1st attack";he bbr;;Reverberation Palm Bomb;34;;;File:t8-p2-nina-db+1+2.mp4;Nina-db+1+2;nina
db+3+4;m;21;i18~19;-17;+36a (+26);;* Tornado;trn;;Geyser Cannon;37;;;File:t8-p2-nina-db+3+4.mp4;Nina-db+3+4;nina
b+1;h;10;i12~13;-7;+4;;;;;Throat Slasher;25;;;File:t8-p2-nina-b+1,4.mp4;Nina-b+1;nina
b+1,4;h, M;10, 22;i12~13, i28~29;-12;+7;+71a (+55);"* Tornado
* Combo from 1st hit with 1f delay
* Interrupt with i9 from 1st block
* Whiffs vs SSR from 1st block 
* Can hit grounded when off-axis";trn stp:SSR intr:9;;Throat Slasher > Glass Jaw;32;;;File:t8-p2-nina-b+1,4.mp4;Nina-b+1,4;nina
b+1+3;;;;-6;;;"* Damage is 25 + 50% of the opponent's attack
* Parries mid or high punches or kicks
* Parry state 5~12";ps5~12;;Attack Reversal;35;;;File:t8-p2-nina-b+1+3_b+2+4.mp4;Nina-b+1+3_b+2+4;nina
b+2;h;12;i12;-14;-3;;"* Homing
* Female characters can slap back with 2 on hit";hom;;;33;;;File:t8-p2-nina-b+2,2,2.mp4;Nina-b+2;nina
b+2,2;h, h;12, 12;i12, i14~15;-6;+5;;"* Combo from 1st hit with 1?f delay
* Jail from 1st block with 1?f delay
* Move can be delayed 1?f";;;;24;;;File:t8-p2-nina-b+2,2,2.mp4;Nina-b+2,2;nina
b+2,2,2;h, h, h;12, 12, 20;i12, ,i25~26;-9;+9g;+14c;"* Balcony Break
* Combo from 1st CH
* Combo from 2nd CH with 5f delay
* Interrupt with i5 from 2nd block
* Cancel to SS -10 +1 with D_U
** If Nina uses a SS attack after the cancel, interrupt with i22 on block, i11 on hit
** Cannot block i25 moves on block or i14 on hit 
* Input can be delayed 13f";bbr intr:5;SS;Backhand Combo;33;;;File:t8-p2-nina-b+2,2,2.mp4;Nina-b+2,2,2;nina
b+3;m;10;i18;-6;+6c;;Spike;spk;;;30;;;File:t8-p2-nina-b+3,4.mp4;Nina-b+3;nina
b+3,4;m, h;10, 17;i18, i20~21;-8;+14c;+45a;"* Combo from 1st hit with 16f delay
* Interrupt with i2 from 1st block
* Move can be delayed by 10F
* Input can be delayed by 17F";intr:2;;Stinger Heel Kick Combo;33;;;File:t8-p2-nina-b+3,4.mp4;Nina-b+3,4;nina
b+4;h;15;i14;-9;+9;+15;;;;Spear Kick;28;;;File:t8-p2-nina-b+4.mp4;Nina-b+4;nina
b+1+2;m,m;5,20;i16 i8~10;-4;+5a;;"* Removes Recoverable Health
* Balcony break on airborne hit
* Combo from 1st hit only if the second hit connects on i8
* 2nd hit available only as combo from 1st
* If the second hit connects on i9~10, frame advantage on hit will be -16
* Powered up in heat";;;Shockwave Palm;32;;;File:t8-p2-nina-b+1+2.mp4;Nina-b+1+2;nina
b+1+4;m,m;4,14;i15 i13~14;-15;+34a (+24);;Tornado;trn;;Reverse Ivory Cutter;35;;;File:t8-p2-nina-b+1+4.mp4;Nina-b+1+4;nina
b+3+4;h;16;i14~15;-5;+6;;* Has good left sidestep tracking;;;Out of Sight;33;;;File:t8-p2-nina-b+3+4,3.mp4;Nina-b+3+4;nina
b+3+4,3;h, M;16, 20;i14~15, i28~29;-15~-14;+27a;;"* Tornado
* Interrupt with i1 from 1st block
* Low crush 31~43
* Floating state 44~46";trn intr:1 js31~43 fs44~46;;Out of Sight > Assassin Somersault Kick;40;;;File:t8-p2-nina-b+3+4,3.mp4;Nina-b+3+4,3;nina
b+3+4,1+2;h, h,h,h;16, 6,6,6;i14~15, i28 i5 i5;-5;+8c;;"* Balcony Break
* Weapon
* Combo from 1st hit with 8F delay
* Interrupt with i1 from 1st block
* 12 chip damage on block
* Powered up in heat
* Move can be delayed by 7F
* Input can be delayed by 8F
* Forces tech backroll on hit";bbr wpn intr:1 chp:12;;Out of Sight > Kiss Shot;40;;;File:t8-p2-nina-b+3+4,1+2.mp4;Nina-b+3+4,1+2;nina
H.b+3+4,1+2;h, h,h,h,h,h;16, 6,6,6,[5],[5];i14~15, i28, i5, i5, i6, i6;-2;+29a (+3);;"* Balcony Break
* Weapon
* Combo from 1st hit with 8F delay
* Jails from 2nd hit
* 13 chip damage on block
* Consumes 180F of remaining Heat time
* Move can be delayed by 7F
* Input can be delayed by 8F";bbr wpn chp:13;;Out of Sight > Kiss Shot;37;;;;Nina-b+3+4,H.1+2;nina
ub+1;m;15;i20~21;-16;+20a;;* Sidesteps to the left;;;Left Backhand Body Blow;35;;;File:t8-p2-nina-ub+1.mp4;Nina-ub+1;nina
ub+3;m;15;i14;-15;-4;;"* Low crush 6~26
* Floating state 27~29";js6~26 fs27~29;;;34;;;;Nina-ub+3;nina
u+3;m;20;i14;-15;+16a (+6);;"Balcony Break
* Low crush 6~26
* Floating state 27~29";bbr js6~26 fs27~29;;;34;;;;Nina-u+3;nina
u+4;M;21;i23~28;+0c~+5c;+5g~+10g;+22a;"* Spike
* Opponent recovers crouching on hit
* Low crush 7~30
* Floating state 31~33";spk js7~30 fs31~33;;Leaping Axe Kick;23;;;File:t8-p2-nina-u+4.mp4;Nina-u+4;nina
uf+1;m;20;i26;-5;+26a;;"Spike
* Low crush 10~26";spk js10~26;FC;Skull Splitter;24;FC;;File:t8-p2-nina-uf+1.mp4;Nina-uf+1;nina
uf+2;m;10;i18;-10;+1;;;;;;29;;;File:t8-p2-nina-uf+2,1.mp4;Nina-uf+2;nina
uf+2,1;m, m;10, 10;i18, i21;-13;+49a (+40);;"* Spike
* Combo from 1st hit with 9f delay
* Interrupt with i3 from 1st block
* Move can be delayed 7f";spk intr:3;;Binding Whip;32;;;File:t8-p2-nina-uf+2,1.mp4;Nina-uf+2,1;nina
uf+3;m;20;i14;-10;+21a (+11);;"Balcony Break
* Low crush 6~26
* Floating state 27~29";bbr js6~26 fs27~29;;Catapult Kick;29;;;File:t8-p2-nina-uf+3.mp4;Nina-uf+3;nina
uf+4;h;23;i18;-9;-1;;"* Low crush 9~30
* Floating state 31~33";js9~30 fs31~33;;;26;;;File:t8-p2-nina-uf+4,3,4.mp4;Nina-uf+4;nina
uf+4,3;h, L;23, 10;i18, i18;-19;-8;;"* Combo from 1st CH
* Move cannot be interrupted
* High crush 35~64";cs35~64;;;38;;;File:t8-p2-nina-uf+4,3,4.mp4;Nina-uf+4,3;nina
