Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
ub+4,1,1,2,1,1,3+4,3,2,2;m, m, m, h, h, m,M,M, L, m, M, M,M,h,h;10, 12, 9, 5, 5, 3,3,3, 7, 15, 20, 2,2,2,20;i18, ,i13~16 1~5 i1~6 i1~8;-23;+3a (-15);;"* Weapon
* Combo from 9th hit
* Last chainsaw hit rarely connects because of its high hitbox, -17 if blocked
* 1 chip damage on block
* 3 chip damage on block in heat
* Low crush 16~";wpn js16~;DES;Alisa-ub+4,1,1,2,1,1,3+4,3,2,2;10 Hit Combo;r50 DES;;File:t8-p2-alisa-ub+4,1,1,2,1,1,3+4,3,2,2.mp4
ub+3+4;M;25;i37~39;+2c~+4c;+25a;;"Spike
* Low crush 5~39";spk js5~39;;Alisa-ub+3+4;;r23;;
ub+3+4,1+2;M, m;25, 20;i37~39, i26~27;-14;+32a (+22);;"Head
* Low crush 48~67
* Floating state 68~70";js48~67 fs68~70;;Alisa-ub+3+4,1+2;Docking Bay;r37;;File:t8-p2-alisa-ub+3+4,1+2.mp4
u+1+2;m;21;i33~34;-5;+56a;;"* Spike
* Low crush 7~33
* Floating state 34~36";spk js7~33 fs34~36;;Alisa-u+1+2;Gigabyte Hammer;r29;;
u+1+2;m;21;i33~34;-5;+56a;;"* Spike
* Low crush 7~33
* Floating state 34~36";spk js7~33 fs34~36;;Alisa-u+1+2;Gigabyte Hammer;r29;;File:t8-p2-alisa-u+1+2.mp4
uf+1;m,m,m;19,19,20;i19~20 i25 i17;-13;+68a (+52);;"* Tornado
* Transition to SBT on hit with 3_4
* Transition to DBT on hit with f+3_f+4
* 2nd and 3rd hit available only as combo from 1st hit
* Low crush 20~40
* Floating state 41~43";trn js20~40 fs41~43;SBT,DBT;Alisa-uf+1;Brute Force Attack;r37;;File:t8-p2-alisa-uf+1.mp4
uf+2;h;22;i16~17;-2;+20a (+11);;"* Heat Engager

* Heat Dash +5, +62a (+42)

* Homing
* Balcony Break
* Weapon
* 6 chip damage on block
* 11 chip damage on block in heat";he hom bbr wpn;DES;Alisa-uf+2;Image Cutter;r29 DES;;File:t8-p2-alisa-uf+2.mp4
uf+3;m;15;i17~18;-52;-25;;"* Transition to SBT with input 3_4
* Transition to DBT with input f+3_f+4
* on
* whiff:
* Low crush 9~31
* Floating state 32~34
* oh
* hit/block:
* Low crush 9~61
* Floating state 62~64";on whiff: js9~31 fs32~34 oh hit/block: js9~61 fs62~64;SBT,DBT;Alisa-uf+3;;r32;;
uf+3,2;m, m;15, 30;i17~18, i17~22;-14;+32a (-26);;"* Balcony Break
* Spike
* Combo from 1st hit
* Available only as a combo from 1st hit
* Low crush 9~58
* Floating state 59~75
* High crush 76~85";bbr spk js9~58 fs59~75 cs76~85;;Alisa-uf+3,2;Cradle Star;r37;;File:t8-p2-alisa-uf+3,2.mp4
uf+4;m;8;i15~16;-15;-4;;"* Low crush 9~37
* Floating state 38~40";js9~37 fs38~40;;Alisa-uf+4;;r33;;
uf+4,4;m, M;8, 8;i15~16, i24~26;-13;+45a (+37);;"* Spike
* Combo from 1st hit with 2f delay
* Low crush 9~41
* Floating state 42~44";spk js9~41 fs42~44;;Alisa-uf+4,4;Inbound Kick;r34;;File:t8-p2-alisa-uf+4,4.mp4
uf+3+4;M;20;i38~40;+0~+3;+9;;"Spike
* Low crush 9~41";spk js9~41;;Alisa-uf+3+4;Downstream;r33;;File:t8-p2-alisa-uf+3+4.mp4
1+2+3+4;;;;;;;"* Cannot block for 5 seconds
* CH state for 5 seconds
* Transition to DES with 1+2
* Low crush 11~49
* Floating state 50~52";js11~49 fs50~52;DES;Alisa-1+2+3+4;Ki Charge;r60;;File:t8-p2-alisa-1+2+3+4.mp4
b,B+1+4;h!;50;i63~84;;+37a (-18);;"* Balcony Break
* Weapon
* Low crush 12~79
* Floating state 80~82";bbr wpn js12~79 fs80~82;;Alisa-b,B+1+4;Double Rocket Punch;r16;;File:t8-p2-alisa-b,b+1+4.mp4
b,B+2+3;m!;50;i75~76;;+44;;"* Balcony Break
* Head";bbr;;Alisa-b,B+2+3;Hang-Up;r102;;File:t8-p2-alisa-b+2+3.mp4
f,F+2;m;18;i16~17;-18;+5a;;* Balcony Break;bbr;;Alisa-f,F+2;;r39;;
f,F+2,3;m, m;18, 25;i16~17, i22~24;-13;+28a (+2);;"* Balcony Break
* Combo from 1st hit
* Input can be delayed 13f
* Move can be delayed 8f";bbr;;Alisa-f,F+2,3;Jumper Switch;r36;;File:t8-p2-alisa-f,f+2,3.mp4
f,F+3;m;12;i18~19;-14;-6;;"* Low crush 15~41
* Floating state 42~44";js15~41 fs42~44;;Alisa-f,F+3;;r35;;
f,F+3,4;m, h;12, 15;i18~19, i19~20;-10;+20a (+11);;"* Balcony Break
* Combo from 1st hit
* Jail from 1st block
* Enter DES with 1+2
* Low crush 15~48
* Floating state 49~51";bbr js15~48 fs49~51;DES;Alisa-f,F+3,4;;r29;;
f,F+3,4,4;m, h, m;12, 15, 25;i18~19, ,i27~29;-10;+20a;;"* Balcony Break
* Combo from 2nd hit
* Enter DES with 1+2";bbr;DES;Alisa-f,F+3,4,4;Cutover;r31;;File:t8-p2-alisa-f,f+3,4,4.mp4
f,F+4;m,m;14,22;i22~29 i34~39;-9~-2;+9a (+0);;"* Balcony Break
* Knee
* Transition to attack throw on front hit only
* +8a (-1) on BT hit
* Just frame input: f,F+4:1 to power up";bbr kne;;Alisa-f,F+4;Sandbox;r30;;File:t8-p2-alisa-f,f+4.mp4
f,F+1+2;m,m;5,10;i17~18 i12~13;-9;+4;+13;13 extra damage on CH, 28 in total;;;Alisa-f,F+1+2;Worm Virus;r27;;File:t8-p2-alisa-f,f+1+2.mp4
f,f,F+2;h;30;i13~15;+5~+7;+28a (+20);;"* Balcony Break
* 9 chip damage on block
* Enter DES with 1+2
* Low crush 3~27
* Floating state 28~30";bbr js3~27 fs28~30;DES;Alisa-f,f,F+2;Linear Punch;r34;;File:t8-p2-alisa-f,f,f+2.mp4
f,f,F+3;m;15;i18~19;-4;+6;;"* Balcony Break
** on airborne hit
* Low crush 3~30
* Floating state 31~33";bbr js3~30 fs31~33;;Alisa-f,f,F+3;;r33;;
f,f,F+3,4;m, m;15, 20;i18~19, i20~22;-7;+31a (+5);;"* Balcony Break
* Combo from 1st hit
* Low crush 3~50
* Floating state 51~53";bbr js3~50 fs51~53;;Alisa-f,f,F+3,4;Linear Dropkick;r33;;File:t8-p2-alisa-f,f,f+3,4.mp4
f,f,F+1+2;M;24;i18~36;-3;-17a (-26);;"* Balcony Break
* Low crush 5~36
* Floating state 37~67";bbr js5~36 fs37~67;;Alisa-f,f,F+1+2;Thruster Double Punch;r44;;
"ws&gt;1+2";m;24;i28~29;-4;+21;;"* Homing
* Hold input to power up";hom;;"Alisa-ws&amp;gt;1+2";;r31;;
ws1;M;12;i13~14;-12;+1;;* Elbow;elb;;Alisa-ws1;;r30;;
ws1,2;M, h;12, 12;i13~14, i24~25;-5;+6;;"* Combo from 1st hit
* Enter DES with 1+2";;DES;Alisa-ws1,2;;r23;;
ws1,2,3;M, h, m;12, 12, 23;i13~14, ,i25~26;-10;+33a (+23);;"* Combo from 2nd CH with 5f delay
* Input can be delayed 10f
* Enter DES with 1+2";;DES;Alisa-ws1,2,3;Spear Fishing;r31;;File:t8-p2-alisa-ws1,2,3.mp4
ws2;m;24;i17~18;-13;+33a (+23);;"* Tornado
* Transition to SBT 3_4
* Transition to DBT f+3_f+4";trn;SBT,DBT;Alisa-ws2;Digital Lift;r40;;File:t8-p2-alisa-ws2.mp4
ws3;m;18;i19~20;+4;+15;;"* Cancel with B
* Actionable after 15 frames";;FC;Alisa-ws3;Clockwork (CLK);r35 FC;;File:t8-p2-alisa-ws3.mp4
ws4;m;15;i11~12;-5;+6;;;;;Alisa-ws4;Key Smash;r23;;File:t8-p2-alisa-ws4.mp4
ws1+2;m;20;i20~21;-8;+21;;"* Homing
* Hold input to power up";hom;;Alisa-ws1+2;Cute But Deadly;r31;;File:t8-p2-alisa-ws1+2.mp4
ws1+2*;m;28;i39~40;+0;+33a;;"* Homing
* 11 chip damage on block";hom;;Alisa-ws1+2*;Cute But Deadly (Hold);r27;;
SS.4;L;16;i24~25;-12;+2;;* High crush 6~35;cs6~35;;Alisa-SS.4;;r30;;
SS.4,1+2;L, h,h,h,m;16, 5,5,5,5;i24~25, i18~19 i3~5 i5~7 i4~5;-10;+8;;"* Spike
* Combo from 1st CH
* Low crush 15~34
* Floating state 35~37";spk js15~34 fs35~37;;Alisa-SS.4,1+2;Happy Propeller;r28;;File:t8-p2-alisa-ss.4,1+2.mp4
FC.1+2;L,L;10,16;i21~23 i6~8;-11c;+5c;;"* Enter DES with n,1+2
* High crush 1~55";cs1~55;DES;Alisa-FC.1+2;Sad Hound;r28;;File:t8-p2-alisa-fc.1+2.mp4
FC.d+1;sl;5;i10;-5;+6;;"Transition to standing with f
* High crush 1~";cs1~;FC;Alisa-FC.d+1;;r24 FC;;
FC.d+2;sl;8;i11;-4;+7;;* High crush 1~;cs1~;FC;Alisa-FC.d+2;;r23 FC;;
FC.d+3;L;10;i16;-17;-6;;* High crush 1~;cs1~;FC;Alisa-FC.d+3;;r36 FC;;
FC.d+4;l;6;i12;-15;-4;;* High crush 1~;cs1~;FC;Alisa-FC.d+4;;r34 FC;;
(Back to wall).b,b,UB;;;;;;;"* is8~13
* Low crush 14~57
* Floating state 58~60";is8~13 js14~57 fs58~60;;Alisa-(Back to wall).b,b,UB;[[Wall Jump Attack]];r75;;
BKP.1;h;21;i11~13;+4~+6;+27a (+1);;"* Strong Aerial Tailspin
* Balcony Break
* 9 chip damage on block
* Transition to SBT at +6/+29 (+3) with 3 or 4
* Transition to DBT at +6/+29 (+3) with f+3 or f+4";bbr;SBT,DBT;Alisa-BKP.1;Recovery Hook;r37;;File:t8-p2-alisa-bkp.1.mp4
BKP.2;h;34;i11~33;-9~+13;+21 (+6);;"* Tornado
* 6 chip damage on block";trn;;Alisa-BKP.2;Rapid Rocket Punch;r22;;File:t8-p2-alisa-bkp.2.mp4
